DISTRICT,VTD,POP
7,1347,1403.0
7,1016,12974.0
6,266,3240.0
6,176,4055.0
6,660,6542.0
6,141,4394.0
6,658,3819.0
2,343,1638.0
2,136,2378.0
2,157,1109.0
2,1240,3958.0
6,145,5714.0
7,147,3482.0
6,164,4638.0
5,161,2926.0
7,663,2823.0
5,1133,3120.0
2,1306,3515.0
7,630,2685.0
2,152,7777.0
2,1510,1425.0
5,1085,13217.0
5,657,6853.0
6,165,2962.0
6,659,581.0
9,515,4293.0
9,520,5089.0
9,669,4493.0
9,519,6727.0
9,522,353.0
9,480,4273.0
