GEOID,ALAND,AWATER
36013000010,0,53703072
36059000466,0,23376265
36085000327,0,442359
36055000802,0,501550704
36055000239,0,613662646
36085000324,0,1549549
36005000812,0,2618182
36085000255,0,1215499
36085000326,0,18855772
36085000323,0,3830587
36085000257,0,561805
36085000253,0,756628
36005000814,0,333175
36005000813,0,948599
36005000815,0,386943
36005000653,0,26663
36005000446,0,3094534
36081000423,0,111781
36081000081,0,318325
36081001231,0,16978
36081000076,0,46138
36081000763,0,364255
36081000074,0,523617
36081000072,0,27346
36081000340,0,7278943
36081001067,0,340341
36081000083,0,12368162
36061001070,0,627318
36061000308,0,521461
36061000309,0,1335251
36061000541,0,927769
36061000755,0,1486071
36061000644,0,116287
36061000643,0,304929
36061000753,0,127979
36061000419,0,58169
36061000192,0,585967
36061000194,0,574010
36061000537,0,569755
36061001069,0,470265
36061000097,0,514015
36061000756,0,2889324
36061001286,0,58389
36061001184,0,1215175
36061000420,0,77750
36061001186,0,176858
36061000849,0,103650
36061000540,0,185382
36061000852,0,113258
36061000426,0,879506
36061000850,0,41733
36047001061,0,66967
36047001725,0,4424219
36047000525,0,14287043
36047000935,0,7189972
36047001056,0,10145
36047000441,0,2034325
36047000524,0,5757115
36047001840,0,6093872
36047000934,0,2359564
36083000119,0,259151
36059001080,0,1536
36081001069,0,956190
36081001068,0,596181
36081001230,0,23022
36081001148,0,1367482
36081001072,0,664084

