1,424,3566.0
2,437,7059.0
3,716,3980.0
9,759,1578.0
8,1019,5069.0
0,1067,257.0
7,1311,2311.0
4,1538,1044.0
10,1934,1693.0
6,2265,2393.0
5,2344,4499.0
10,1961,2539.0
10,1999,1966.0
10,507,2779.0
10,1933,1310.0
3,906,2998.0
3,717,3397.0
2,440,4503.0
5,2032,4018.0
10,824,2820.0
10,508,2288.0
10,2252,2637.0
5,920,3178.0
5,927,5518.0
10,2153,2430.0
3,718,2995.0
2,314,5632.0
5,2038,3088.0
10,751,4114.0
5,1290,4641.0
10,504,7954.0
10,2162,2041.0
9,760,266.0
5,2325,2344.0
10,1954,2501.0
10,681,2240.0
2,580,6477.0
3,1363,12130.0
3,715,3214.0
5,2033,1914.0
10,987,5189.0
5,1984,3465.0
8,990,3354.0
10,2122,3496.0
5,965,917.0
5,1690,3493.0
3,1956,3410.0
10,2263,2989.0
5,919,5058.0
2,327,7875.0
10,678,2527.0
10,744,3154.0
5,1708,5796.0
3,1605,6829.0
10,823,2316.0
2,315,6628.0
2,316,8966.0
10,677,3459.0
10,825,2838.0
2,329,3350.0
2,421,3407.0
5,1691,5727.0
6,2004,1906.0
5,2260,2199.0
10,1950,1428.0
10,892,2683.0
10,510,1713.0
3,907,3039.0
10,863,3247.0
5,2270,3531.0
9,761,993.0
10,826,4543.0
2,320,6612.0
1,1284,14.0
10,860,3541.0
2,439,7151.0
10,1932,6249.0
2,328,6854.0
10,861,3930.0
10,674,3390.0
5,2451,2948.0
3,2073,3146.0
10,676,3430.0
5,2258,4939.0
5,1294,8191.0
6,1827,2355.0
10,1723,2011.0
10,693,4836.0
10,1795,2474.0
2,422,5566.0
5,2447,5354.0
5,1854,4161.0
5,2040,4489.0
5,1662,8526.0
10,2440,730.0
5,2392,6496.0
5,1661,5366.0
10,864,5078.0
5,1855,7244.0
10,2389,2797.0
10,2348,1781.0
2,581,3566.0
10,1949,3694.0
10,2460,453.0
5,1285,4173.0
5,2271,6917.0
3,1816,4201.0
8,2315,2291.0
10,822,6380.0
10,680,2050.0
5,2275,5887.0
5,2287,2979.0
10,1696,2358.0
10,1964,2381.0
8,881,5370.0
10,675,2228.0
10,1978,2278.0
5,714,3390.0
10,862,3924.0
10,2251,6728.0
10,1969,4313.0
10,2261,1563.0
10,673,2447.0
10,1967,2409.0
10,2426,474.0
10,821,5220.0
2,2223,4323.0
1,911,1699.0
8,1151,4485.0
10,690,2721.0
5,2274,3446.0
10,2001,3638.0
8,1150,6017.0
5,2035,3258.0
5,928,7156.0
10,538,3978.0
10,509,3809.0
6,1171,1555.0
5,953,7340.0
5,966,3095.0
10,2000,5154.0
5,1293,7531.0
6,2180,959.0
10,820,1307.0
10,2316,8405.0
2,319,7741.0
10,2245,2132.0
10,1073,5688.0
2,438,7310.0
8,1021,6043.0
2,609,5632.0
10,1979,2131.0
10,2398,1109.0
7,1310,2675.0
3,2238,4800.0
5,1856,3270.0
5,2319,7133.0
10,2254,3564.0
3,589,2902.0
2,1570,4949.0
10,682,1648.0
10,688,3456.0
10,2356,4738.0
10,451,3406.0
1,427,8.0
5,958,3080.0
0,1061,1202.0
10,2160,2821.0
5,1994,3871.0
5,1226,5276.0
5,929,4852.0
10,679,2456.0
8,1020,1293.0
10,789,2967.0
10,1615,3910.0
10,2253,1514.0
4,1399,5160.0
5,2278,3545.0
10,830,2904.0
5,2031,3920.0
10,1952,5377.0
8,772,7387.0
5,932,9593.0
5,955,5744.0
5,2192,5623.0
2,613,3931.0
3,2228,7747.0
10,1959,3488.0
10,691,4123.0
10,2002,2263.0
5,2062,4455.0
4,1492,1615.0
3,643,5169.0
10,450,4233.0
10,1799,5116.0
5,2407,2618.0
3,1382,3468.0
8,1779,5407.0
5,1291,3470.0
10,1977,6367.0
5,2322,3723.0
6,2005,1969.0
5,930,4379.0
10,745,4571.0
5,857,5973.0
8,1152,4969.0
8,1639,5877.0
10,834,2556.0
8,2003,2029.0
10,832,1943.0
10,1072,2810.0
5,954,5587.0
10,2350,5402.0
2,610,5556.0
2,1015,4588.0
10,2333,1384.0
10,2383,4407.0
5,1211,6499.0
6,2008,2521.0
5,2462,643.0
10,1986,2403.0
8,627,4197.0
2,612,4705.0
3,644,7133.0
2,2224,5858.0
5,1955,3560.0
6,545,1096.0
3,1364,4732.0
10,1760,4594.0
5,1247,3404.0
5,2063,5210.0
5,850,4774.0
5,931,1942.0
10,506,3520.0
5,1100,2192.0
10,831,1590.0
5,1995,4129.0
10,790,5110.0
8,1686,4858.0
10,1797,3015.0
5,2133,3207.0
10,2449,3381.0
10,521,6027.0
10,750,2609.0
5,2432,1730.0
5,2358,4246.0
5,1846,4092.0
3,912,3680.0
5,1982,7457.0
10,1074,4067.0
5,918,3344.0
10,2454,409.0
10,833,2990.0
10,696,2835.0
10,1973,3288.0
6,2448,2573.0
9,889,299.0
3,2116,7935.0
1,425,3.0
8,1989,1566.0
10,1071,4796.0
7,2060,1568.0
10,817,3182.0
5,2420,1812.0
10,570,2304.0
3,1395,3076.0
8,776,4776.0
10,2123,4692.0
8,777,5070.0
10,695,5357.0
3,640,4910.0
10,1951,2013.0
5,2386,1839.0
5,1209,8350.0
1,1668,829.0
10,505,6017.0
5,924,6059.0
8,628,10170.0
6,1088,1841.0
6,1900,566.0
0,1279,2942.0
0,1308,1360.0
5,1845,6470.0
10,787,5766.0
5,2042,3000.0
5,1210,3349.0
5,1864,1695.0
5,967,2099.0
8,1640,4997.0
5,1369,5114.0
10,332,2317.0
5,2408,3131.0
8,778,4674.0
2,2066,4453.0
8,1637,3864.0
6,1084,2655.0
5,2055,4111.0
8,1778,6388.0
7,1370,400.0
8,1777,5314.0
10,2152,2833.0
10,587,3784.0
5,851,7274.0
10,632,6372.0
10,1976,3694.0
1,423,2088.0
5,2289,5474.0
10,2311,4221.0
5,1212,6672.0
3,1593,4941.0
2,322,7139.0
10,686,4901.0
2,611,6525.0
10,446,2975.0
3,2117,6761.0
10,1947,4462.0
10,786,3124.0
10,2247,5130.0
10,333,5470.0
5,2197,3055.0
3,700,5421.0
10,746,3988.0
10,334,6396.0
10,694,4321.0
