#,MAP,CONTIGUOUS,ENERGY,POPDEV,DELTA,SHARED,UOM,ES
72,MA20C_I071K01N09,True,1168759.477792,0.005230,0.000000,1.000000,0.000000,0.000000
28,MA20C_I027K01N09,True,1169142.530564,0.005610,0.000328,0.921198,0.373872,0.192512
6,MA20C_I005K01N09,True,1170349.348293,0.004810,0.001360,0.970424,0.206746,0.062983
54,MA20C_I053K01N09,True,1170385.752359,0.006010,0.001391,0.953140,0.268056,0.107123
5,MA20C_I004K01N09,True,1170545.989396,0.005100,0.001529,0.963805,0.231138,0.077029
85,MA20C_I084K01N09,True,1170624.696410,0.004750,0.001596,0.902968,0.489876,0.229420
60,MA20C_I059K01N09,True,1170987.699725,0.004710,0.001906,0.894697,0.488579,0.264693
29,MA20C_I028K01N09,True,1171701.605051,0.004200,0.002517,0.939023,0.329124,0.141573
90,MA20C_I089K01N09,True,1172690.979163,0.005270,0.003364,0.888906,0.511129,0.274415
22,MA20C_I021K01N09,True,1172839.083344,0.004860,0.003491,0.921084,0.438472,0.180113
50,MA20C_I049K01N09,True,1173302.554247,0.003990,0.003887,0.911095,0.439865,0.216907
94,MA20C_I093K01N09,True,1176416.815276,0.004770,0.006552,0.863492,0.601004,0.352035
61,MA20C_I060K01N09,True,1176452.885988,0.005390,0.006583,0.865837,0.567553,0.350034
67,MA20C_I066K01N09,True,1176974.910207,0.004840,0.007029,0.843401,0.638465,0.412116
95,MA20C_I094K01N09,True,1177114.155070,0.004150,0.007148,0.895184,0.511635,0.250262
15,MA20C_I014K01N09,True,1177151.519288,0.005360,0.007180,0.872030,0.551064,0.329619
3,MA20C_I002K01N09,True,1177200.234918,0.003990,0.007222,0.838432,0.669953,0.424847
68,MA20C_I067K01N09,True,1177249.433822,0.004320,0.007264,0.862260,0.581850,0.359115
8,MA20C_I007K01N09,True,1177327.008646,0.003460,0.007330,0.836543,0.678264,0.433293
39,MA20C_I038K01N09,True,1177498.342818,0.004840,0.007477,0.831616,0.687226,0.448328
75,MA20C_I074K01N09,True,1177498.342818,0.004840,0.007477,0.831616,0.687226,0.448328
100,MA20C_I099K01N09,True,1177521.841809,0.004670,0.007497,0.836378,0.677133,0.432310
97,MA20C_I096K01N09,True,1177587.724603,0.004930,0.007554,0.843781,0.657177,0.409588
87,MA20C_I086K01N09,True,1177643.064928,0.006550,0.007601,0.851165,0.641791,0.387040
77,MA20C_I076K01N09,True,1178041.469352,0.005830,0.007942,0.866827,0.557529,0.347789
27,MA20C_I026K01N09,True,1178139.955750,0.004500,0.008026,0.838052,0.650496,0.429988
69,MA20C_I068K01N09,True,1178174.365660,0.005660,0.008055,0.827601,0.661018,0.464546
76,MA20C_I075K01N09,True,1178313.484699,0.005110,0.008174,0.843083,0.664625,0.411941
33,MA20C_I032K01N09,True,1179012.663009,0.004890,0.008773,0.867260,0.576110,0.340363
40,MA20C_I039K01N09,True,1179188.127199,0.005210,0.008923,0.813872,0.712244,0.502049
1,MA20C_I000K01N09,True,1179977.772156,0.004000,0.009598,0.870159,0.576379,0.333881
12,MA20C_I011K01N09,True,1180141.179585,0.004700,0.009738,0.846676,0.641378,0.403139
70,MA20C_I069K01N09,True,1180181.056201,0.003950,0.009772,0.842287,0.661167,0.415772
23,MA20C_I022K01N09,True,1180726.279570,0.004760,0.010239,0.853358,0.614857,0.383369
99,MA20C_I098K01N09,True,1181452.245521,0.006130,0.010860,0.827627,0.672890,0.463931
4,MA20C_I003K01N09,True,1181482.456173,0.005470,0.010886,0.823862,0.695758,0.472278
11,MA20C_I010K01N09,True,1181602.032183,0.004780,0.010988,0.858003,0.629504,0.364110
9,MA20C_I008K01N09,True,1181877.392686,0.004170,0.011224,0.814826,0.701773,0.501132
88,MA20C_I087K01N09,True,1181954.725560,0.004310,0.011290,0.805957,0.723692,0.526526
20,MA20C_I019K01N09,True,1182331.398143,0.004910,0.011612,0.839982,0.664370,0.421107
65,MA20C_I064K01N09,True,1182991.531380,0.004890,0.012177,0.854728,0.633714,0.372457
7,MA20C_I006K01N09,True,1183035.709393,0.004890,0.012215,0.852028,0.645924,0.380365
66,MA20C_I065K01N09,True,1183261.947048,0.004150,0.012408,0.812970,0.716232,0.506692
45,MA20C_I044K01N09,True,1183511.455587,0.006030,0.012622,0.851077,0.649974,0.384042
91,MA20C_I090K01N09,True,1183593.048490,0.005400,0.012692,0.803509,0.699051,0.532966
19,MA20C_I018K01N09,True,1183842.690044,0.005380,0.012905,0.848047,0.658636,0.394229
59,MA20C_I058K01N09,True,1183922.367540,0.004460,0.012973,0.846297,0.662573,0.400112
51,MA20C_I050K01N09,True,1183948.531116,0.006480,0.012996,0.798335,0.755589,0.546518
55,MA20C_I054K01N09,True,1184013.033352,0.004470,0.013051,0.793509,0.746825,0.561869
38,MA20C_I037K01N09,True,1184308.037320,0.004950,0.013303,0.837234,0.698534,0.424090
30,MA20C_I029K01N09,True,1184441.775356,0.003870,0.013418,0.812341,0.721390,0.505721
89,MA20C_I088K01N09,True,1185147.588425,0.005140,0.014022,0.813303,0.615020,0.513767
62,MA20C_I061K01N09,True,1185384.229737,0.004680,0.014224,0.784955,0.735715,0.600096
56,MA20C_I055K01N09,True,1185391.386221,0.007380,0.014230,0.780391,0.784201,0.597691
18,MA20C_I017K01N09,True,1185758.338538,0.004620,0.014544,0.831129,0.715240,0.442243
44,MA20C_I043K01N09,True,1186300.642772,0.006890,0.015008,0.791573,0.779646,0.566785
82,MA20C_I081K01N09,True,1187039.106116,0.006450,0.015640,0.773050,0.767882,0.611154
10,MA20C_I009K01N09,True,1187119.179992,0.004820,0.015709,0.825272,0.701469,0.464253
14,MA20C_I013K01N09,True,1187166.799938,0.007730,0.015749,0.763277,0.818397,0.642390
93,MA20C_I092K01N09,True,1187172.783451,0.005790,0.015755,0.771658,0.779604,0.616434
21,MA20C_I020K01N09,True,1187240.654783,0.005370,0.015813,0.764384,0.813587,0.639655
83,MA20C_I082K01N09,True,1187506.615657,0.005220,0.016040,0.789365,0.684452,0.580758
2,MA20C_I001K01N09,True,1187997.347884,0.006030,0.016460,0.763353,0.818906,0.643868
43,MA20C_I042K01N09,True,1188203.488451,0.005630,0.016636,0.778837,0.720073,0.591909
74,MA20C_I073K01N09,True,1190028.882319,0.005550,0.018198,0.791221,0.665610,0.587309
26,MA20C_I025K01N09,True,1191224.695181,0.005060,0.019221,0.785135,0.694836,0.608933
86,MA20C_I085K01N09,True,1191524.807078,0.004620,0.019478,0.805954,0.795660,0.523863
47,MA20C_I046K01N09,True,1191524.807078,0.004620,0.019478,0.805954,0.795660,0.523863
63,MA20C_I062K01N09,True,1191741.696321,0.005340,0.019664,0.758994,0.846249,0.661338
42,MA20C_I041K01N09,True,1199222.202132,0.004800,0.026064,0.731536,0.867058,0.723885
58,MA20C_I057K01N09,True,1200523.801068,0.004470,0.027178,0.740950,0.794161,0.671384
49,MA20C_I048K01N09,True,1201806.561873,0.005640,0.028275,0.843194,0.608608,0.408399
41,MA20C_I040K01N09,True,1202604.250446,0.005630,0.028958,0.748729,0.790173,0.661283
79,MA20C_I078K01N09,True,1203600.797967,0.004860,0.029811,0.717052,0.867959,0.791542
57,MA20C_I056K01N09,True,1206484.923480,0.005330,0.032278,0.673181,0.959562,0.862090
64,MA20C_I063K01N09,True,1206828.889257,0.006350,0.032572,0.720809,0.916576,0.772572
48,MA20C_I047K01N09,True,1207010.558184,0.004720,0.032728,0.693350,0.900420,0.836850
46,MA20C_I045K01N09,True,1207117.263918,0.004610,0.032819,0.669863,0.953780,0.859905
16,MA20C_I015K01N09,True,1207224.148775,0.004770,0.032911,0.682612,0.938125,0.863010
84,MA20C_I083K01N09,True,1207410.612711,0.005590,0.033070,0.674187,0.949515,0.853418
80,MA20C_I079K01N09,True,1207439.247803,0.004720,0.033095,0.692255,0.968413,0.851782
32,MA20C_I031K01N09,True,1207459.537171,0.004620,0.033112,0.681727,0.935594,0.862189
92,MA20C_I091K01N09,True,1207583.192971,0.004640,0.033218,0.785668,0.736181,0.581539
52,MA20C_I051K01N09,True,1207585.102539,0.005360,0.033220,0.719861,0.894986,0.760366
35,MA20C_I034K01N09,True,1207587.710243,0.004530,0.033222,0.681730,0.943864,0.870206
25,MA20C_I024K01N09,True,1207621.929421,0.005280,0.033251,0.675881,0.946274,0.870372
36,MA20C_I035K01N09,True,1207778.470054,0.005240,0.033385,0.693402,0.943719,0.830151
81,MA20C_I080K01N09,True,1207990.634475,0.004220,0.033566,0.693785,0.942362,0.829407
34,MA20C_I033K01N09,True,1208130.545928,0.004610,0.033686,0.680838,0.940402,0.834295
24,MA20C_I023K01N09,True,1208336.250938,0.004060,0.033862,0.713215,0.936031,0.795510
37,MA20C_I036K01N09,True,1208992.854942,0.004460,0.034424,0.690412,0.915709,0.867973
71,MA20C_I070K01N09,True,1209780.826942,0.006200,0.035098,0.726027,0.892248,0.770071
78,MA20C_I077K01N09,True,1213248.652655,0.004800,0.038065,0.665028,1.003343,0.928850
31,MA20C_I030K01N09,True,1216382.366228,0.007240,0.040747,0.684641,0.968194,0.910291
17,MA20C_I016K01N09,True,1218202.005693,0.004380,0.042303,0.718630,0.971340,0.813943
73,MA20C_I072K01N09,True,1221456.989253,0.004440,0.045088,0.733780,0.959365,0.768290
98,MA20C_I097K01N09,True,1224282.478360,0.004650,0.047506,0.686350,1.000672,0.915064
53,MA20C_I052K01N09,True,1228979.425294,0.004920,0.051525,0.670111,1.017195,0.916969
13,MA20C_I012K01N09,True,1229475.569974,0.005080,0.051949,0.669875,1.022780,0.923562
