MAP,ENERGY
OK20C_I000K01N05,1891241.290710
OK20C_I001K01N05,1896637.534661
OK20C_I002K01N05,1896637.534661
OK20C_I003K01N05,1890890.137421
OK20C_I004K01N05,1896637.534661
OK20C_I005K01N05,1897473.780926
OK20C_I006K01N05,1890689.827788
OK20C_I007K01N05,1897473.780926
OK20C_I008K01N05,1897473.780926
OK20C_I009K01N05,1896942.471924
OK20C_I010K01N05,1897473.780926
OK20C_I011K01N05,1888674.364961
OK20C_I012K01N05,1896637.534661
OK20C_I013K01N05,1887233.370651
OK20C_I014K01N05,1890689.827788
OK20C_I015K01N05,1891132.260576
OK20C_I016K01N05,1886893.606572
OK20C_I017K01N05,1887170.805167
OK20C_I018K01N05,1891370.299079
OK20C_I019K01N05,1891376.550666
OK20C_I020K01N05,1890689.827788
OK20C_I021K01N05,1890820.348760
OK20C_I022K01N05,1897473.780926
OK20C_I023K01N05,1890689.827788
OK20C_I024K01N05,1892102.914537
OK20C_I025K01N05,1888677.737215
OK20C_I026K01N05,1888677.737215
OK20C_I027K01N05,1890689.827788
OK20C_I028K01N05,1896502.118215
OK20C_I029K01N05,1890477.376445
OK20C_I030K01N05,1896637.534661
OK20C_I031K01N05,1888220.940148
OK20C_I032K01N05,1896637.534661
OK20C_I033K01N05,1892102.914537
OK20C_I034K01N05,1890689.827788
OK20C_I035K01N05,1888220.940148
OK20C_I036K01N05,1896637.534661
OK20C_I037K01N05,1896637.534661
OK20C_I038K01N05,1895609.161230
OK20C_I039K01N05,1896637.534661
OK20C_I040K01N05,1887138.665313
OK20C_I041K01N05,1894501.580753
OK20C_I042K01N05,1897473.780926
OK20C_I043K01N05,1890689.827788
OK20C_I044K01N05,1897473.780926
OK20C_I045K01N05,1890689.827788
OK20C_I046K01N05,1896942.471924
OK20C_I047K01N05,1886419.792352
OK20C_I048K01N05,1892102.914537
OK20C_I049K01N05,1886369.807002
OK20C_I050K01N05,1892685.024994
OK20C_I051K01N05,1891241.290710
OK20C_I052K01N05,1891241.290710
OK20C_I053K01N05,1887102.415774
OK20C_I054K01N05,1896502.118215
OK20C_I055K01N05,1897351.259569
OK20C_I056K01N05,1890689.827788
OK20C_I057K01N05,1890689.827788
OK20C_I058K01N05,1892685.024994
OK20C_I059K01N05,1890689.827788
OK20C_I060K01N05,1891241.290710
OK20C_I061K01N05,1896637.534661
OK20C_I062K01N05,1890689.827788
OK20C_I063K01N05,1888674.364961
OK20C_I064K01N05,1890689.827788
OK20C_I065K01N05,1891462.748006
OK20C_I066K01N05,1896637.534661
OK20C_I067K01N05,1896942.471924
OK20C_I068K01N05,1896942.471924
OK20C_I069K01N05,1891241.290710
OK20C_I070K01N05,1896637.534661
OK20C_I071K01N05,1887528.635218
OK20C_I072K01N05,1887904.979552
OK20C_I073K01N05,1891241.290710
OK20C_I074K01N05,1887075.350216
OK20C_I075K01N05,1890689.827788
OK20C_I076K01N05,1896637.534661
OK20C_I077K01N05,1896942.471924
OK20C_I078K01N05,1886212.958068
OK20C_I079K01N05,1896637.534661
OK20C_I080K01N05,1890988.935386
OK20C_I081K01N05,1888674.364961
OK20C_I082K01N05,1890689.827788
OK20C_I083K01N05,1897473.780926
OK20C_I084K01N05,1891241.290710
OK20C_I085K01N05,1890689.827788
OK20C_I086K01N05,1896502.118215
OK20C_I087K01N05,1891241.290710
OK20C_I088K01N05,1886869.121096
OK20C_I089K01N05,1890689.827788
OK20C_I090K01N05,1887748.031761
OK20C_I091K01N05,1897473.780926
OK20C_I092K01N05,1891462.748006
OK20C_I093K01N05,1892625.702728
OK20C_I094K01N05,1891241.290710
OK20C_I095K01N05,1896637.534661
OK20C_I096K01N05,1886199.578497
OK20C_I097K01N05,1888278.064833
OK20C_I098K01N05,1891288.583981
OK20C_I099K01N05,1896942.471924
