13073000100,13245000707
13003000002,1306500000H
131210SC08C,131210SC17A
1312100SC20,131210SC18C
1306300JB10,1306300RD05
1305900005C,1305900005D
131210CP084,131210SC08D
13027000659,13185000007
13021000HA2,13021000HA3
13021000GF1,13021000VV3
132350ANNEX,1331500002B
13095000026,132050000BA
13217000003,132470000OT
13217000008,13217000024
13115000020,13115000045
130890000SW,132470000LA
13215000117,13215000119
13045000641,13045000649
13151000035,13151000037
13123000011,13227000007
130890000CU,130890000DE
1312100002A,1312100006R
1305106-03C,1305106-10C
1306300OAK3,1306300RD07
1312100003I,1312100003N
132050000PE,13275000111
1331300002A,133130000MC
13297000425,13297000454
13057000002,13057000044
13183000006,13267000009
13057000019,13057000028
1305107-08C,1305107-09C
13073000030,13245000310
13285000008,13285000015
13055000925,13055000968
13015000006,13015000015
1312100012D,131210EP02E
131210SC16A,131210SC16B
1305105-07C,1305105-08C
13063000FP3,1306300OAK3
13063000MO1,130890000BL
13179000001,13179000003
13029000001,13031000007
1305107-01C,1305108-15C
13119000007,13195000POC
13105000201,13195000HAR
13117000005,13117000027
13135000026,13135000142
1312100JC12,13135000056
1300700000H,1300700000N
133130000GL,133130000PG
13113000014,13113000022
1331300005A,133130000ES
13215000113,13215FTBEN4
13275000114,13275000115
13199000001,13199000014
13013000008,13013000015
1312100AP14,131210AP01C
1312100008D,131210008N1
13011000004,13119000002
13211000006,13217000016
13275000107,13275000110
13211000006,13217000025
13213000824,13213001013
13013000005,13013000016
130890000WJ,1312100007M
13163001460,13301000006
13045001496,130450714BN
13277000008,13277000009
13123000008,13213000824
131210EP02A,131210EP02B
13135000044,13135000053
13135000135,13139000029
1303500BCCC,13151000025
1306700MT01,131210SS19B
131450000EL,13215000127
13013000010,13013000011
1312100RW05,131210RW07A
130890000EG,130890000LE
13175000008,13309000001
13087001277,132050000BV
13219000002,13219000003
13135000067,13135000136
13053FTBEN3,13215FTBEN3
13165000004,13251000007
1312100003B,1312100009I
13177000001,13177000002
13135000078,13135000134
13095000020,132050000BA
13285000003,13285000015
13151000038,13151000042
13135000027,13135000136
13105000190,13105000192
130890000DF,130890000MS
130890000HA,130890000RE
1312100004S,1312100004T
13229000001,13299000406
1312100JC16,1312100JC19
13163000081,13245000801
