26,321,1457.0
37,1035,2810.0
19,1702,339.0
11,1744,1061.0
10,1959,2759.0
22,1977,71.0
17,2029,60.0
2,2056,7457.0
3,2121,217.0
25,2454,277.0
31,2540,2412.0
29,2847,2669.0
9,2904,4327.0
4,3165,1199.0
6,3371,4988.0
33,3744,5935.0
12,3863,1381.0
14,4485,490.0
15,5006,3747.0
8,5146,197.0
18,5345,0.01
35,5356,6664.0
28,5605,6507.0
30,6109,6137.0
16,6710,1518.0
7,7071,762.0
32,7319,62.0
36,7381,89.0
20,7587,521.0
13,7893,76.0
5,8061,584.0
21,8197,3949.0
34,8450,30.0
27,8581,2050.0
24,8760,0.01
23,8823,1931.0
0,8853,0.01
1,8871,284.0
36,7379,1647.0
36,7377,67.0
36,2864,0.01
36,7376,2490.0
18,5344,2237.0
36,7382,29.0
36,7378,33.0
23,8793,2752.0
16,8930,63.0
5,3856,1538.0
5,4721,2449.0
16,9005,90.0
36,7405,0.01
9,3075,38.0
5,4535,2152.0
36,7404,148.0
36,7406,96.0
32,8994,0.01
14,7265,2163.0
18,2527,5957.0
0,3003,2895.0
8,5147,7971.0
36,8251,873.0
36,2863,1241.0
36,7403,328.0
14,2514,3077.0
27,8901,1479.0
3,7858,19.0
15,3903,7296.0
8,386,9007.0
8,76,0.01
18,5390,15.0
36,7402,102.0
24,8034,2542.0
24,8759,0.01
36,7380,220.0
35,768,32.0
24,7230,2899.0
18,5343,5526.0
28,8240,7297.0
5,1318,2208.0
14,4263,5080.0
24,4608,7585.0
15,6348,6686.0
5,4539,2164.0
8,5642,8214.0
8,77,20.0
34,6657,4144.0
0,7316,377.0
35,6895,2638.0
28,5606,5574.0
27,8712,2621.0
3,2120,9172.0
23,8477,4314.0
9,5045,1019.0
13,7892,3122.0
22,8655,72.0
16,6662,1308.0
5,7392,2408.0
8,387,11238.0
3,1179,92.0
14,1608,4095.0
32,4597,1943.0
21,769,4750.0
18,549,11792.0
23,7189,4562.0
28,8241,3946.0
32,8872,17.0
13,1713,3430.0
0,7045,1258.0
28,8584,3982.0
9,4984,0.01
35,765,563.0
36,4587,833.0
8,1080,2731.0
32,8898,2565.0
24,8761,473.0
5,3857,7002.0
15,6391,2389.0
14,4497,4548.0
34,8449,4996.0
16,5121,8119.0
9,2903,4720.0
23,3961,1458.0
24,7234,5236.0
0,8997,0.01
3,7860,1766.0
27,6589,2086.0
36,2862,9380.0
9,3074,8615.0
16,8563,94.0
14,7950,4306.0
31,4858,7736.0
14,8047,3224.0
23,8513,4725.0
8,74,2607.0
16,6709,5076.0
27,7198,2939.0
9,7312,2990.0
22,8656,0.01
22,1976,41.0
8,75,2501.0
8,6713,8316.0
9,4983,3054.0
22,8657,4.0
0,8521,1687.0
24,4502,5783.0
32,4598,0.01
15,6347,6226.0
15,4103,6177.0
5,3651,0.01
15,4102,3877.0
35,5355,5673.0
35,1948,3613.0
24,7232,3317.0
9,3077,18.0
36,4588,0.01
36,7401,5837.0
8,8447,623.0
5,3855,3771.0
32,6443,3466.0
14,6990,4318.0
21,671,5758.0
5,4231,2334.0
35,5102,5618.0
23,6150,3608.0
31,5803,5554.0
9,2968,2889.0
31,2539,5434.0
0,7039,0.01
14,8387,2706.0
9,5044,5156.0
28,5590,5978.0
18,5389,9455.0
14,8065,3776.0
15,4093,7082.0
14,8064,4306.0
16,5287,9923.0
5,7164,6949.0
37,1034,2707.0
32,8964,28.0
8,5643,602.0
0,8094,2363.0
5,1606,2394.0
9,7292,786.0
21,1646,3690.0
31,8474,2186.0
24,4609,976.0
36,4619,3950.0
32,7318,424.0
24,8035,3920.0
9,4626,4228.0
8,837,7415.0
5,4528,183.0
0,7043,0.01
0,8369,1168.0
9,7061,998.0
8,6669,3604.0
31,5042,4713.0
5,3652,4931.0
24,6241,3342.0
23,3962,1744.0
28,4334,5111.0
9,7075,5309.0
32,6444,345.0
27,8379,2345.0
22,608,8541.0
14,4492,3737.0
8,7570,5795.0
14,8920,3031.0
5,1225,4330.0
14,8582,2273.0
21,766,8291.0
9,3076,5779.0
5,4540,1984.0
30,6110,3327.0
24,6757,3560.0
23,8635,3373.0
