#,MAP,CONTIGUOUS,ENERGY,DELTA,SHARED,UOM,ES,NOTE
2,GA20C_I001K01N14,True,3371859.295104,0.037149,0.838747,0.774230,0.402472,
11,GA20C_I010K01N14,False,3405570.867574,0.047519,0.777869,0.823839,0.647688,
81,GA20C_I080K01N14,True,3408499.764303,0.048420,0.681341,1.040703,0.905303,
59,GA20C_I058K01N14,True,3408922.638068,0.048550,0.741606,0.904233,0.774845,
94,GA20C_I093K01N14,True,3409047.958971,0.048588,0.754934,0.895768,0.702295,
67,GA20C_I066K01N14,True,3412439.136700,0.049631,0.670894,1.080827,0.992903,
86,GA20C_I085K01N14,True,3420554.943234,0.052128,0.749837,0.987406,0.724116,
27,GA20C_I026K01N14,True,3422923.676085,0.052856,0.766617,0.823854,0.647341,
48,GA20C_I047K01N14,True,3423626.160942,0.053072,0.721115,0.986258,0.785093,
64,GA20C_I063K01N14,False,3438272.780268,0.057577,0.684663,1.061143,0.937731,
49,GA20C_I048K01N14,True,3440671.464261,0.058315,0.762868,0.861204,0.670612,
24,GA20C_I023K01N14,True,3456865.748966,0.063296,0.762306,0.883063,0.702246,
31,GA20C_I030K01N14,True,3463666.059479,0.065388,0.695481,1.031102,0.868404,
65,GA20C_I064K01N14,True,3465130.352849,0.065839,0.655910,1.116139,0.984850,
97,GA20C_I096K01N14,True,3466141.542130,0.066150,0.745480,0.916834,0.728490,
47,GA20C_I046K01N14,True,3469845.946677,0.067289,0.672194,1.147561,1.024031,
79,GA20C_I078K01N14,True,3479082.071949,0.070130,0.692115,1.025070,0.865807,
61,GA20C_I060K01N14,True,3493869.746290,0.074679,0.713252,0.995144,0.840860,
55,GA20C_I054K01N14,True,3496492.259698,0.075485,0.689963,1.086076,0.946990,
37,GA20C_I036K01N14,True,3523932.724119,0.083926,0.700147,1.047032,0.897086,
