#,MAP,CONTIGUOUS,ENERGY,DELTA,SHARED,UOM,ES,NOTE
14,NC20C_I013K01N14,False,3111274.762182,0.005265,0.951387,0.272424,0.106690,
55,NC20C_I054K01N14,False,3111361.826391,0.005293,0.965468,0.195727,0.075364,
5,NC20C_I004K01N14,False,3111466.467860,0.005327,0.962364,0.216951,0.082373,
92,NC20C_I091K01N14,False,3111927.996959,0.005476,0.953626,0.262167,0.101453,
91,NC20C_I090K01N14,False,3112548.521869,0.005677,0.951762,0.291339,0.105178,
90,NC20C_I089K01N14,False,3113402.795730,0.005953,0.974095,0.178055,0.055114,
33,NC20C_I032K01N14,False,3113419.970333,0.005958,0.961507,0.253524,0.083062,
49,NC20C_I048K01N14,False,3113453.254932,0.005969,0.950287,0.315875,0.108499,
25,NC20C_I024K01N14,False,3113902.536246,0.006114,0.961465,0.252322,0.083149,
61,NC20C_I060K01N14,False,3114198.976232,0.006210,0.917428,0.417991,0.192959,
26,NC20C_I025K01N14,False,3114383.537038,0.006270,0.971467,0.197413,0.060776,
77,NC20C_I076K01N14,False,3115053.844404,0.006486,0.965628,0.237602,0.072976,
43,NC20C_I042K01N14,False,3115456.570854,0.006616,0.911134,0.352311,0.221528,
37,NC20C_I036K01N14,False,3115615.389941,0.006668,0.971208,0.199855,0.061017,
17,NC20C_I016K01N14,False,3116035.425113,0.006803,0.970610,0.203671,0.062298,
23,NC20C_I022K01N14,False,3116189.992441,0.006853,0.968532,0.216819,0.066914,
70,NC20C_I069K01N14,False,3116397.013437,0.006920,0.966841,0.224490,0.070860,
34,NC20C_I033K01N14,False,3116397.013437,0.006920,0.966841,0.224490,0.070860,
31,NC20C_I030K01N14,False,3116612.318007,0.006990,0.963375,0.239341,0.079446,
96,NC20C_I095K01N14,False,3116820.002204,0.007057,0.968201,0.212021,0.067759,
36,NC20C_I035K01N14,False,3117125.730000,0.007156,0.967604,0.211288,0.070261,
99,NC20C_I098K01N14,False,3118366.208266,0.007557,0.969135,0.212661,0.065607,
63,NC20C_I062K01N14,False,3118548.748367,0.007616,0.962561,0.242306,0.080978,
30,NC20C_I029K01N14,False,3120966.591335,0.008397,0.962198,0.245334,0.081667,
20,NC20C_I019K01N14,False,3121580.092459,0.008595,0.961061,0.252373,0.084245,
19,NC20C_I018K01N14,False,3147537.002931,0.016982,0.902739,0.469674,0.236320,
40,NC20C_I039K01N14,False,3153002.325607,0.018748,0.854554,0.625900,0.393726,
76,NC20C_I075K01N14,False,3181340.611554,0.027904,0.839299,0.692940,0.432899,
