#,MAP,CONTIGUOUS,ENERGY,POPDEV,DELTA,SHARED,UOM,ES
21,NC20C_I020K01N14,True,3190700.915143,0.009540,0.033987,0.870032,0.609188,0.309808
27,NC20C_I026K01N14,True,3191051.185491,0.011840,0.034101,0.842065,0.688790,0.385916
24,NC20C_I023K01N14,True,3191227.470367,0.006520,0.034158,0.801084,0.671983,0.458218
61,NC20C_I060K01N14,True,3192568.234259,0.009720,0.034592,0.880599,0.559525,0.285617
64,NC20C_I063K01N14,True,3197294.334698,0.017080,0.036124,0.768219,0.818069,0.663248
32,NC20C_I031K01N14,True,3197597.545656,0.013370,0.036222,0.736869,0.947795,0.755108
50,NC20C_I049K01N14,True,3197885.583571,0.009910,0.036315,0.854315,0.675149,0.359353
8,NC20C_I007K01N14,True,3198416.618088,0.008530,0.036487,0.843845,0.690838,0.385569
85,NC20C_I084K01N14,True,3198808.860624,0.010920,0.036615,0.845070,0.691047,0.388173
94,NC20C_I093K01N14,True,3201735.433148,0.007100,0.037563,0.791896,0.760035,0.600116
70,NC20C_I069K01N14,True,3203023.642074,0.013350,0.037980,0.826668,0.755643,0.431648
82,NC20C_I081K01N14,True,3203698.294122,0.007310,0.038199,0.736855,0.948960,0.750992
86,NC20C_I085K01N14,True,3205794.912895,0.009140,0.038879,0.819227,0.783394,0.477868
60,NC20C_I059K01N14,True,3211042.937464,0.023150,0.040579,0.809299,0.723778,0.529676
28,NC20C_I027K01N14,True,3212167.535319,0.007960,0.040944,0.800351,0.766671,0.572010
10,NC20C_I009K01N14,True,3226383.701893,0.010630,0.045551,0.770545,0.817577,0.649400
43,NC20C_I042K01N14,True,3232175.793904,0.008360,0.047428,0.747962,0.909265,0.726360
49,NC20C_I048K01N14,True,3240411.040700,0.005200,0.050096,0.836938,0.732125,0.414913
15,NC20C_I014K01N14,True,3243175.171802,0.009070,0.050992,0.860470,0.659453,0.349875
46,NC20C_I045K01N14,True,3246579.479189,0.007710,0.052095,0.798740,0.763242,0.561969
13,NC20C_I012K01N14,True,3263093.805903,0.006490,0.057447,0.841808,0.617628,0.455153
42,NC20C_I041K01N14,True,3269372.995191,0.007410,0.059482,0.806873,0.721021,0.546047
53,NC20C_I052K01N14,True,3269712.639157,0.013090,0.059592,0.781555,0.798593,0.615248
12,NC20C_I011K01N14,True,3271336.348581,0.005400,0.060118,0.746682,0.918199,0.729829
29,NC20C_I028K01N14,True,3282350.814923,0.008030,0.063687,0.839649,0.550817,0.461681
7,NC20C_I006K01N14,True,3287488.114695,0.008090,0.065352,0.791206,0.769610,0.609776
51,NC20C_I050K01N14,True,3290204.885036,0.010870,0.066233,0.696909,0.991134,0.890217
55,NC20C_I054K01N14,True,3325990.901207,0.010840,0.077830,0.698742,0.962897,0.877345
19,NC20C_I018K01N14,True,3328020.289841,0.010160,0.078487,0.733578,0.953797,0.780513
47,NC20C_I046K01N14,True,3410888.901351,0.012870,0.105342,0.673269,1.026294,0.921719
92,NC20C_I091K01N14,True,3509599.958345,0.006500,0.137330,0.674916,1.021509,0.889461
34,NC20C_I033K01N14,True,3533918.965303,0.015020,0.145211,0.704311,0.980008,0.847818
