map,energy,population_deviation,estimated_vote_pct,pr_deviation,pr_seats,pr_pct,estimated_seats,estimated_seat_pct,fptp_seats,disproportionality,efficiency_gap,gamma,seats_bias,votes_bias,geometric_seats_bias,global_symmetry,declination,mean_median_statewide,mean_median_average_district,turnout_bias,lopsided_outcomes,competitive_districts,competitive_district_pct,responsiveness,responsive_districts,responsive_district_pct,overall_responsiveness,avg_dem_win_pct,avg_rep_win_pct,opportunity_districts,proportional_opportunities,coalition_districts,proportional_coalitions,reock,polsby_popper,county_splitting,district_splitting,proportionality,competitiveness,minority,compactness,splitting
I017K01N14,1478587.702810,0.010400,0.494300,0.044800,7,0.500000,6.373300,0.455200,6,0.039000,0.033300,0.021500,0.020300,0.004500,0.019700,0.006000,2.208200,0.013000,0.012700,0.000400,-0.001000,5.247200,0.374800,4.061800,5.247200,0.374800,7.828300,0.573700,0.565900,0.000000,5,8.121800,5,0.490600,0.334800,1.293900,2.125800,80,50,50,78,10
I018K01N14,1697073.412732,0.010200,0.494300,0.040800,7,0.500000,6.429500,0.459200,7,0.035000,0.029300,0.015200,0.015800,0.003600,0.015600,0.006700,1.162900,-0.002200,-0.004200,0.002000,-0.005100,5.551200,0.396500,4.469100,5.551200,0.396500,7.126700,0.564500,0.580000,0.000000,5,8.260900,5,0.506900,0.324700,1.289700,2.106700,82,53,50,78,11
I019K01N14,1454297.888324,0.005000,0.494300,0.023500,7,0.500000,6.670600,0.476500,7,0.017800,0.012100,-0.000400,-0.000300,-0.000100,-0.000700,-0.003400,0.086600,-0.009100,-0.009000,-0.000100,-0.005400,5.270800,0.376500,4.179100,5.270800,0.376500,4.115100,0.561900,0.573100,0.000000,5,6.665100,5,0.489600,0.334500,1.295400,2.095700,91,50,50,78,10
I020K01N14,1508970.317114,0.009500,0.494300,0.022800,7,0.500000,6.681000,0.477200,7,0.017100,0.011400,-0.005800,-0.005600,-0.001100,-0.005800,-0.002800,-0.541800,-0.005900,-0.006500,0.000600,-0.007500,6.548200,0.467700,5.000500,6.548200,0.467700,3.985100,0.554700,0.567200,0.000000,5,8.323700,5,0.469500,0.315600,1.308100,2.185300,91,62,50,71,8
I021K01N14,1462383.954026,0.015600,0.494300,0.050600,7,0.500000,6.291500,0.449400,6,0.044900,0.039200,0.025700,0.024500,0.005100,0.023800,0.006000,2.600600,0.013800,0.013300,0.000600,-0.000300,5.663900,0.404600,4.347800,5.663900,0.404600,8.849600,0.571400,0.564500,0.000000,5,8.198600,5,0.487000,0.331400,1.287100,2.077900,78,54,50,76,12
I022K01N14,1448071.883625,0.012000,0.494300,0.051200,7,0.500000,6.283200,0.448800,6,0.045500,0.039800,0.029000,0.027400,0.006200,0.026700,0.007500,3.143900,0.010700,0.010500,0.000300,0.001300,5.102200,0.364400,3.887200,5.102200,0.364400,8.954000,0.574900,0.566700,0.000000,5,8.211600,5,0.481700,0.321000,1.279300,2.095900,77,49,50,74,12
I023K01N14,1510442.870816,0.006500,0.494300,0.036000,7,0.500000,6.495900,0.464000,8,0.030300,0.024600,0.009500,0.009300,0.002000,0.009000,0.002900,0.967600,-0.007000,-0.007600,0.000600,-0.004100,6.076300,0.434000,4.642500,6.076300,0.434000,6.296500,0.551300,0.583300,0.000000,5,6.782200,5,0.466600,0.313900,1.319900,2.219900,85,58,50,70,6
I024K01N14,1445927.268995,0.004800,0.494300,0.030100,7,0.500000,6.578400,0.469900,8,0.024400,0.018700,0.002200,0.002700,0.000600,0.002600,0.001800,0.360800,-0.011800,-0.012200,0.000400,-0.005300,6.312300,0.450900,4.889700,6.312300,0.450900,5.266400,0.551400,0.582900,0.000000,5,7.413800,5,0.473600,0.321800,1.273300,2.054500,88,60,50,72,14
I025K01N14,1498077.993855,0.007600,0.494300,0.021400,7,0.500000,6.700100,0.478600,8,0.015700,0.010000,-0.004200,-0.003300,-0.000800,-0.003200,-0.000800,-0.379500,-0.018400,-0.018900,0.000500,-0.007100,5.723100,0.408800,4.483300,5.723100,0.408800,3.746000,0.554800,0.587500,0.000000,5,8.295700,5,0.504800,0.324300,1.309700,2.040600,92,55,50,78,8
I026K01N14,1572063.736007,0.011800,0.494300,0.026700,7,0.500000,6.626300,0.473300,7,0.021000,0.015300,-0.001200,-0.000400,-0.000100,-0.000400,-0.001300,-0.049300,-0.010600,-0.011300,0.000700,-0.006500,6.294900,0.449600,4.878700,6.294900,0.449600,4.667700,0.559100,0.571900,0.000000,5,8.233800,5,0.494600,0.355900,1.269000,2.039000,90,60,50,81,14
