map,energy,population_deviation,estimated_vote_pct,pr_deviation,pr_seats,pr_pct,estimated_seats,estimated_seat_pct,fptp_seats,disproportionality,efficiency_gap,gamma,seats_bias,votes_bias,geometric_seats_bias,global_symmetry,declination,mean_median_statewide,mean_median_average_district,turnout_bias,lopsided_outcomes,competitive_districts,competitive_district_pct,responsiveness,responsive_districts,responsive_district_pct,overall_responsiveness,avg_dem_win_pct,avg_rep_win_pct,opportunity_districts,proportional_opportunities,coalition_districts,proportional_coalitions,reock,polsby_popper,county_splitting,district_splitting,proportionality,competitiveness,minority,compactness,splitting
I054K01N14,1624167.208886,0.010800,0.494300,0.014600,7,0.500000,6.795500,0.485400,7,0.008900,0.003200,-0.005600,-0.005300,-0.001500,-0.005400,-0.002200,-0.662800,-0.007500,-0.008000,0.000600,-0.007900,4.556900,0.325500,3.541700,4.556900,0.325500,2.554300,0.578500,0.591100,0.000000,5,8.464100,5,0.496900,0.321900,1.313200,2.181700,96,43,50,77,8
I055K01N14,1451678.661361,0.009900,0.494300,0.033900,7,0.500000,6.525100,0.466100,7,0.028200,0.022500,0.007600,0.007600,0.001600,0.007400,0.003300,0.984000,-0.007300,-0.007500,0.000200,-0.003700,5.966200,0.426200,4.609400,5.966200,0.426200,5.931900,0.561200,0.573100,0.000000,5,7.615300,5,0.460800,0.336200,1.269400,2.048300,86,57,50,72,14
I056K01N14,1460940.738660,0.009500,0.494300,0.051400,7,0.500000,6.280500,0.448600,6,0.045700,0.040000,0.027800,0.026100,0.005500,0.025300,0.007000,2.704200,0.019300,0.018600,0.000700,-0.000200,5.407000,0.386200,4.117800,5.407000,0.386200,8.987500,0.572100,0.565300,0.000000,5,8.245200,5,0.459300,0.300900,1.290900,2.138700,77,51,50,67,11
I057K01N14,1445686.040996,0.007200,0.494300,0.036400,7,0.500000,6.490300,0.463600,8,0.030700,0.025000,0.008500,0.009000,0.001900,0.008800,0.003400,1.072100,-0.013100,-0.013400,0.000300,-0.003600,6.302900,0.450200,4.874500,6.302900,0.450200,6.367300,0.551800,0.583200,0.000000,5,7.445900,5,0.473900,0.321400,1.275800,2.080200,85,60,50,72,13
I058K01N14,1482704.217152,0.014500,0.494300,0.044100,7,0.500000,6.382900,0.455900,6,0.038400,0.032600,0.020600,0.019600,0.004400,0.019100,0.005400,2.333300,0.000900,0.000700,0.000200,-0.000600,5.454800,0.389600,4.105800,5.454800,0.389600,7.707900,0.573400,0.565500,0.000000,5,7.480500,5,0.498000,0.333400,1.295500,2.110200,81,52,50,78,10
I059K01N14,1565293.833813,0.023100,0.494300,0.086700,7,0.500000,5.785700,0.413300,5,0.081000,0.075300,0.067500,0.066500,0.016700,0.065800,0.018700,8.783900,0.022700,0.021400,0.001300,0.013700,4.315300,0.308200,3.360700,4.315300,0.308200,15.168400,0.606800,0.570200,0.000000,5,7.695900,5,0.532200,0.346100,1.299000,2.115500,59,41,50,81,10
I060K01N14,1559625.804975,0.009700,0.494300,0.043500,7,0.500000,6.391500,0.456500,6,0.037700,0.032000,0.022100,0.021800,0.005600,0.021500,0.005900,2.555700,-0.001500,-0.002000,0.000500,-0.000200,4.810600,0.343600,3.734900,4.810600,0.343600,7.600700,0.579900,0.570800,0.000000,5,7.570400,5,0.509600,0.365800,1.276800,2.040400,81,46,50,83,13
I061K01N14,1502576.473214,0.007000,0.494300,0.057200,7,0.500000,6.199800,0.442800,7,0.051400,0.045700,0.033200,0.032600,0.007300,0.032200,0.008700,3.913300,0.005400,0.004800,0.000600,0.002700,5.487600,0.392000,4.189000,5.487600,0.392000,9.995700,0.566500,0.579100,0.000000,5,7.569700,5,0.498900,0.358400,1.266100,2.001700,74,52,50,82,14
I062K01N14,1460546.688210,0.008300,0.494300,0.043300,7,0.500000,6.394200,0.456700,6,0.037600,0.031800,0.018800,0.017500,0.003700,0.016800,0.005200,1.851300,0.009300,0.008900,0.000400,-0.001900,5.624000,0.401700,4.284000,5.624000,0.401700,7.567700,0.569800,0.563100,0.000000,5,8.141200,5,0.508000,0.330600,1.300000,2.150800,81,54,50,79,10
I063K01N14,1551192.113569,0.017100,0.494300,0.077900,7,0.500000,5.908800,0.422100,6,0.072200,0.066500,0.059800,0.059100,0.015900,0.058500,0.016900,7.330700,0.032000,0.030200,0.001800,0.009800,3.845300,0.274700,3.172200,3.845300,0.274700,13.630600,0.590800,0.581300,0.000000,5,8.300700,5,0.510600,0.332700,1.302900,2.073500,64,37,50,79,9
I064K01N14,1447656.435037,0.007200,0.494300,0.051000,7,0.500000,6.286000,0.449000,7,0.045300,0.039600,0.024400,0.023800,0.004900,0.023400,0.006600,2.911100,-0.006300,-0.006500,0.000200,0.000800,6.202800,0.443100,4.653200,6.202800,0.443100,8.918400,0.561400,0.573200,0.000000,5,7.499900,5,0.496100,0.332900,1.276700,2.080400,77,59,50,78,13
I065K01N14,1456779.358146,0.004300,0.494300,0.018300,7,0.500000,6.743300,0.481700,8,0.012600,0.006900,-0.007000,-0.006400,-0.001500,-0.006600,-0.003000,-0.596000,-0.013900,-0.014000,0.000100,-0.007200,5.569000,0.397800,4.429700,5.569000,0.397800,3.206300,0.553500,0.584800,0.000000,5,7.478600,5,0.478700,0.317900,1.293200,2.094600,94,53,50,72,10
I066K01N14,1515500.131842,0.007100,0.494300,0.060700,7,0.500000,6.150500,0.439300,6,0.055000,0.049200,0.030900,0.030400,0.005600,0.030100,0.008000,3.157800,0.000100,-0.000900,0.000900,0.000500,6.863700,0.490300,5.201000,6.863700,0.490300,10.611300,0.566400,0.561400,0.000000,5,8.220000,5,0.513200,0.334600,1.275400,2.019900,73,65,50,80,13
I067K01N14,1473618.356729,0.005500,0.494300,0.039100,7,0.500000,6.452900,0.460900,7,0.033400,0.027600,0.016500,0.016600,0.004100,0.016300,0.005200,1.959200,-0.005400,-0.005700,0.000300,-0.001500,5.043200,0.360200,3.941500,5.043200,0.360200,6.834400,0.567700,0.579700,0.000000,5,7.460700,5,0.503700,0.359100,1.267700,2.039800,83,48,50,82,14
I068K01N14,1455293.318789,0.018100,0.494300,0.029000,7,0.500000,6.594500,0.471000,8,0.023200,0.017500,-0.001600,-0.001300,-0.000200,-0.001400,-0.002600,-0.104600,-0.009500,-0.010000,0.000500,-0.006500,7.013600,0.501000,5.344300,7.013600,0.501000,5.065000,0.545600,0.575300,0.000000,5,8.089900,5,0.478900,0.325600,1.278600,2.130200,88,67,50,74,12
I069K01N14,1585474.791548,0.013400,0.494300,0.035000,7,0.500000,6.510200,0.465000,7,0.029300,0.023500,0.006100,0.006800,0.001400,0.006800,0.003200,0.749700,-0.003800,-0.004600,0.000800,-0.004800,6.543000,0.467400,5.043400,6.543000,0.467400,6.117900,0.558900,0.571800,0.713400,5,7.568300,5,0.526300,0.371000,1.274000,2.012500,85,62,57,84,14
I070K01N14,1459258.461537,0.015200,0.494300,0.018500,7,0.500000,6.741000,0.481500,8,0.012800,0.007100,-0.012300,-0.011500,-0.002200,-0.011500,-0.003400,-0.971200,-0.014200,-0.014500,0.000300,-0.008200,6.964100,0.497400,5.380000,6.964100,0.497400,3.234600,0.545900,0.575100,0.000000,5,8.109600,5,0.458100,0.308400,1.283700,2.125400,94,66,50,68,12
I071K01N14,1460088.585795,0.007300,0.494300,0.031200,7,0.500000,6.563500,0.468800,8,0.025500,0.019700,0.006300,0.006400,0.001500,0.006200,0.003100,0.883900,-0.008700,-0.008600,-0.000000,-0.003700,5.594800,0.399600,4.359100,5.594800,0.399600,5.452500,0.554500,0.586000,0.000000,5,7.463300,5,0.501600,0.330900,1.289700,2.098800,87,53,50,79,11
I072K01N14,1482702.227513,0.009400,0.494300,0.029500,7,0.500000,6.586400,0.470500,7,0.023800,0.018100,0.006700,0.006600,0.001600,0.006200,0.003000,0.465100,-0.007000,-0.007700,0.000700,-0.005300,5.083700,0.363100,3.995400,5.083700,0.363100,5.166900,0.562300,0.575000,0.000000,5,8.182700,5,0.511600,0.323300,1.299900,2.084800,88,48,50,78,10
I073K01N14,1448902.973734,0.011000,0.494300,0.043700,7,0.500000,6.388200,0.456300,7,0.038000,0.032300,0.019300,0.018600,0.004100,0.018100,0.005100,2.029800,0.000800,0.000400,0.000400,-0.001400,5.507900,0.393400,4.274400,5.507900,0.393400,7.642300,0.561800,0.573900,0.000000,5,7.397700,5,0.492000,0.329600,1.281600,2.128400,81,52,50,77,12
I074K01N14,1557660.736360,0.010700,0.494300,0.021700,7,0.500000,6.696200,0.478300,8,0.016000,0.010300,-0.003000,-0.001800,-0.000400,-0.001800,-0.001200,-0.462900,-0.015800,-0.016600,0.000800,-0.007600,5.346000,0.381900,4.319700,5.346000,0.381900,3.795100,0.555200,0.588800,0.758900,5,7.501600,5,0.512800,0.346100,1.284500,2.046100,92,51,58,81,12
I075K01N14,1474367.234050,0.009600,0.494300,0.019600,7,0.500000,6.725400,0.480400,8,0.013900,0.008200,-0.008900,-0.007800,-0.001600,-0.007800,-0.001100,-0.715900,-0.018600,-0.018900,0.000300,-0.007700,6.341400,0.453000,4.988400,6.341400,0.453000,3.430100,0.550700,0.581700,0.000000,5,7.523500,5,0.468900,0.333600,1.285500,2.114400,93,60,50,73,12
I076K01N14,1463981.118512,0.012400,0.494300,0.011200,7,0.500000,6.843200,0.488800,7,0.005500,-0.000200,-0.019100,-0.018400,-0.003600,-0.018400,-0.005700,-1.606600,-0.008600,-0.008900,0.000200,-0.009600,6.909600,0.493500,5.305100,6.909600,0.493500,1.959000,0.552400,0.564300,0.000000,5,8.240800,5,0.463000,0.332100,1.281800,2.088000,97,66,50,72,12
I077K01N14,1471444.564016,0.014400,0.494300,0.028000,7,0.500000,6.607800,0.472000,7,0.022300,0.016600,0.003500,0.004100,0.001000,0.003900,0.002500,0.367200,-0.012000,-0.012400,0.000400,-0.005300,5.364400,0.383200,4.292300,5.364400,0.383200,4.899400,0.563300,0.575600,0.000000,5,7.444500,5,0.508400,0.352000,1.274000,2.077600,89,51,50,82,14
I078K01N14,1477165.351732,0.005900,0.494300,0.027400,7,0.500000,6.616700,0.472600,7,0.021700,0.015900,0.001400,0.001500,0.000300,0.001200,0.002700,0.099700,-0.006700,-0.007100,0.000500,-0.006000,5.837400,0.417000,4.543600,5.837400,0.417000,4.787500,0.559400,0.571800,0.000000,5,8.184700,5,0.489200,0.314400,1.294800,2.143700,89,56,50,75,10
I079K01N14,1508207.967059,0.009500,0.494300,0.070000,7,0.500000,6.020700,0.430000,7,0.064200,0.058500,0.047300,0.046300,0.010500,0.045700,0.012400,5.898500,0.010800,0.010400,0.000400,0.007600,5.210000,0.372100,3.967600,5.210000,0.372100,12.232800,0.569200,0.581500,0.000000,5,7.586100,5,0.517700,0.343300,1.275400,2.045000,68,50,50,80,13
I080K01N14,1526679.785043,0.007200,0.494300,0.090600,7,0.500000,5.732300,0.409400,5,0.084800,0.079100,0.068600,0.067000,0.014600,0.066200,0.017300,8.362600,0.027900,0.026600,0.001200,0.012300,4.918000,0.351300,3.833700,4.918000,0.351300,15.835000,0.599400,0.566000,0.000000,5,8.536100,5,0.482100,0.351100,1.289800,2.125400,58,47,50,78,11
I081K01N14,1560726.555007,0.007300,0.494300,0.052500,7,0.500000,6.264600,0.447500,7,0.046800,0.041100,0.023300,0.023400,0.004500,0.023200,0.007300,2.405900,-0.002300,-0.003600,0.001300,-0.001500,6.758600,0.482800,5.106500,6.758600,0.482800,9.186300,0.557600,0.571600,0.000000,5,8.316700,5,0.507300,0.361100,1.279200,2.040600,77,64,50,82,12
I082K01N14,1451287.185573,0.010900,0.494300,0.015400,7,0.500000,6.783900,0.484600,8,0.009700,0.004000,-0.009100,-0.008400,-0.002000,-0.008600,-0.003500,-0.978500,-0.013600,-0.013800,0.000200,-0.008200,5.320900,0.380100,4.290600,5.320900,0.380100,2.699400,0.552800,0.584300,0.000000,5,6.636700,5,0.488900,0.325200,1.283600,2.138500,95,51,50,76,12
I083K01N14,1521299.698709,0.012600,0.494300,0.041700,7,0.500000,6.415900,0.458300,7,0.036000,0.030300,0.015700,0.015600,0.003400,0.015400,0.004700,1.948700,-0.004400,-0.004800,0.000400,-0.001600,6.067400,0.433400,4.557700,6.067400,0.433400,7.295700,0.562600,0.574900,0.000000,5,7.704900,5,0.427200,0.303600,1.280400,2.112000,82,58,50,61,12
I084K01N14,1575417.144724,0.010900,0.494300,0.056600,7,0.500000,6.207300,0.443400,7,0.050900,0.045200,0.033800,0.033900,0.008300,0.033600,0.010500,4.042800,-0.000500,-0.001200,0.000700,0.002900,5.107900,0.364900,3.990000,5.107900,0.364900,9.901200,0.569500,0.582500,0.000000,5,6.836900,5,0.539100,0.376300,1.283300,2.061500,75,49,50,84,12
I085K01N14,1536153.760557,0.009100,0.494300,0.060500,7,0.500000,6.153200,0.439500,6,0.054800,0.049000,0.033900,0.032900,0.006600,0.032400,0.007900,3.722500,0.007800,0.007100,0.000700,0.002100,6.206900,0.443300,4.651000,6.206900,0.443300,10.576900,0.571700,0.565100,0.000000,5,8.291500,5,0.499700,0.321200,1.286400,2.086700,73,59,50,78,12
I086K01N14,1461830.366106,0.007100,0.494300,0.023600,7,0.500000,6.668900,0.476400,7,0.017900,0.012200,-0.001000,-0.000900,-0.000200,-0.001200,-0.003200,-0.312200,-0.003900,-0.004500,0.000600,-0.007000,5.424400,0.387500,4.315900,5.424400,0.387500,4.135300,0.559500,0.572100,0.000000,5,8.223200,5,0.493500,0.328100,1.301200,2.139600,91,52,50,77,10
I087K01N14,1457639.397827,0.008200,0.494300,0.020700,7,0.500000,6.710600,0.479300,7,0.015000,0.009200,-0.005700,-0.005300,-0.001200,-0.005500,-0.003300,-0.607600,-0.009000,-0.009400,0.000400,-0.007500,5.855400,0.418200,4.616400,5.855400,0.418200,3.614800,0.558100,0.570300,0.000000,5,7.434600,5,0.470700,0.288000,1.294200,2.177300,93,56,50,68,10
I088K01N14,1449559.922111,0.015600,0.494300,0.054500,7,0.500000,6.236500,0.445500,6,0.048800,0.043100,0.032200,0.030800,0.007000,0.030200,0.007600,3.622200,0.011500,0.011100,0.000400,0.002300,5.134300,0.366700,3.914700,5.134300,0.366700,9.537500,0.576700,0.568200,0.000000,5,8.303300,5,0.488100,0.332400,1.274500,2.081800,76,49,50,76,14
I089K01N14,1472372.890884,0.008700,0.494300,0.033200,7,0.500000,6.534900,0.466800,7,0.027500,0.021800,0.006700,0.006900,0.001500,0.006600,0.002800,0.697100,-0.006600,-0.007000,0.000400,-0.004500,5.921400,0.423000,4.646500,5.921400,0.423000,5.809900,0.559600,0.571900,0.000000,5,8.160600,5,0.480400,0.328600,1.286400,2.065800,86,56,50,74,12
I090K01N14,1472246.933779,0.009700,0.494300,0.050900,7,0.500000,6.287900,0.449100,6,0.045100,0.039400,0.018900,0.018900,0.003400,0.018800,0.006100,2.157200,0.001100,0.000600,0.000500,-0.001300,7.464200,0.533200,5.581000,7.464200,0.533200,8.894400,0.564400,0.559200,0.000000,5,8.325300,5,0.466100,0.330100,1.268900,2.031200,77,71,50,72,14
I091K01N14,1784152.368671,0.006500,0.494300,-0.001200,7,0.500000,7.016500,0.501200,7,-0.006900,-0.012600,-0.022100,-0.021300,-0.006000,-0.021200,-0.005900,-2.874700,-0.009800,-0.010600,0.000800,-0.013400,4.659600,0.332800,3.659900,4.659600,0.332800,-0.205500,0.575300,0.588300,0.691800,5,8.522500,5,0.495400,0.294800,1.334400,2.249500,99,44,57,74,4
I092K01N14,1445086.240513,0.009100,0.494300,0.044700,7,0.500000,6.374600,0.455300,7,0.039000,0.033200,0.019100,0.018800,0.004100,0.018500,0.005400,2.348900,-0.007000,-0.007100,0.000000,-0.000400,5.850000,0.417900,4.465700,5.850000,0.417900,7.811600,0.562600,0.574100,0.000000,5,7.325900,5,0.494700,0.336100,1.273900,2.070000,81,56,50,78,14
I093K01N14,1557887.525878,0.007100,0.494300,0.081900,7,0.500000,5.853000,0.418100,6,0.076200,0.070500,0.063300,0.062200,0.016100,0.061600,0.017200,8.283600,0.024300,0.023200,0.001000,0.012800,4.180300,0.298600,3.254900,4.180300,0.298600,14.327700,0.590000,0.579400,0.000000,5,6.821600,5,0.514500,0.327100,1.307100,2.135300,62,40,50,78,8
I094K01N14,1526773.785869,0.008500,0.494300,0.086600,7,0.500000,5.787400,0.413400,6,0.080900,0.075200,0.064100,0.062800,0.013900,0.062200,0.017700,8.452700,0.013900,0.013700,0.000300,0.013700,5.203600,0.371700,3.938500,5.203600,0.371700,15.147000,0.583800,0.573300,0.000000,5,6.857900,5,0.508000,0.350100,1.296200,2.113200,60,50,50,82,10
I095K01N14,1522555.841094,0.010400,0.494300,0.024100,7,0.500000,6.662600,0.475900,8,0.018400,0.012700,-0.001100,-0.000400,-0.000100,-0.000500,-0.001200,-0.182900,-0.014300,-0.015100,0.000700,-0.006900,5.601500,0.400100,4.409100,5.601500,0.400100,4.214800,0.554700,0.588000,0.000000,5,8.606200,5,0.463000,0.310700,1.304700,2.152400,91,53,50,69,9
I096K01N14,1510568.690943,0.012300,0.494300,0.036100,7,0.500000,6.494900,0.463900,6,0.030400,0.024600,0.006900,0.007400,0.001500,0.007300,0.003300,0.743400,-0.003700,-0.004500,0.000800,-0.004900,6.649300,0.475000,5.095900,6.649300,0.475000,6.308700,0.566600,0.561400,0.000000,5,7.628800,5,0.473000,0.343600,1.280200,2.092400,85,63,50,75,12
I097K01N14,1455085.704043,0.012200,0.494300,0.038600,7,0.500000,6.459300,0.461400,7,0.032900,0.027200,0.013600,0.013500,0.003000,0.013200,0.004500,1.631100,-0.004800,-0.005000,0.000200,-0.002200,5.707200,0.407700,4.368900,5.707200,0.407700,6.753900,0.563000,0.574900,0.000000,5,7.575300,5,0.468500,0.320300,1.270200,2.052500,84,54,50,71,14
I098K01N14,1473354.835780,0.009000,0.494300,0.050800,7,0.500000,6.289000,0.449200,6,0.045100,0.039300,0.027600,0.026300,0.005900,0.025700,0.006800,3.090600,0.010900,0.010700,0.000200,0.001200,5.285800,0.377600,4.051000,5.285800,0.377600,8.880900,0.575200,0.566700,0.000000,5,7.351000,5,0.514000,0.339300,1.286000,2.082800,77,50,50,80,12
I099K01N14,1481236.913604,0.014400,0.494300,0.036900,7,0.500000,6.484000,0.463100,7,0.031100,0.025400,0.008400,0.008200,0.001600,0.008000,0.003600,0.948400,-0.003100,-0.003400,0.000400,-0.003900,6.535400,0.466800,4.985700,6.535400,0.466800,6.445900,0.556800,0.569000,0.000000,5,8.222700,5,0.482300,0.337500,1.282000,2.098500,84,62,50,76,12
