GEOID,ALAND,AWATER
26003ZZZZZZ,0,10422358457
26095ZZZZZZ,0,2552907254
26047ZZZZZZ,0,1001726456
26121ZZZZZZ,0,2415135163
26007ZZZZZZ,59535,2850138397
26159ZZZZZZ,0,1208881881
26163ZZZZZZ,91137,114394424
26009ZZZZZZ,0,178385027
26029ZZZZZZ,81565,2425652944
26151ZZZZZZ,0,1620945499
26019ZZZZZZ,0,1325839720
26139ZZZZZZ,0,2730715911
26083ZZZZZZ,0,11860006443
26061ZZZZZZ,0,1190341080
26141ZZZZZZ,0,4873454162
26013ZZZZZZ,0,325927077
26157ZZZZZZ,0,237140492
26017ZZZZZZ,164377,419539461
26115ZZZZZZ,0,292822814
26041ZZZZZZ,0,1238273379
26089ZZZZZZ,0,4528014471
26109ZZZZZZ,0,741400237
26005ZZZZZZ,0,2566131834
26099ZZZZZZ,0,224498893
26103ZZZZZZ,0,3991295398
26131ZZZZZZ,0,6248391180
26069ZZZZZZ,0,3426028643
26105ZZZZZZ,0,1896143837
26031ZZZZZZ,10274,226332381
26055ZZZZZZ,0,277349026
26153ZZZZZZ,0,1714852446
26053ZZZZZZ,0,861508242
26011ZZZZZZ,0,380965346
26097ZZZZZZ,0,2336339064
26021ZZZZZZ,0,2593052394
26001ZZZZZZ,10858,2838772315
26063ZZZZZZ,0,1867632951
26033ZZZZZZ,0,2046309295
26101ZZZZZZ,0,1862345626
26127ZZZZZZ,0,1968017648

