#,MAP,CONTIGUOUS,ENERGY,POPDEV,DELTA,SHARED,UOM,ES
38,OH20C_I037K01N15,True,3341617.404355,0.002300,0.054950,0.701960,1.033258,0.907717
5,OH20C_I004K01N15,True,3351852.271648,0.002290,0.058181,0.710514,1.058278,0.893765
61,OH20C_I060K01N15,True,3352639.371302,0.001980,0.058430,0.725525,0.998380,0.773459
63,OH20C_I062K01N15,True,3363895.990531,0.001920,0.061983,0.722113,1.000879,0.828873
59,OH20C_I058K01N15,True,3370635.538349,0.002460,0.064111,0.705901,1.039339,0.909523
50,OH20C_I049K01N15,True,3380786.881190,0.001740,0.067316,0.675458,1.079864,0.928548
21,OH20C_I020K01N15,True,3403803.781724,0.001410,0.074582,0.736107,0.897197,0.791943
78,OH20C_I077K01N15,True,3409390.933108,0.001420,0.076346,0.720364,0.981268,0.745709
32,OH20C_I031K01N15,True,3411314.953971,0.002700,0.076954,0.670402,1.051734,0.942952
27,OH20C_I026K01N15,True,3437889.135435,0.002000,0.085343,0.677760,1.088801,0.934953
14,OH20C_I013K01N15,True,3442224.230970,0.001820,0.086712,0.691511,1.080918,0.893338
68,OH20C_I067K01N15,True,3455352.319648,0.003400,0.090856,0.721932,0.981731,0.779338
