BLOCK,PRECINCT
220019601011000,220010003-3
220019601011001,220010003-3
220019601011002,220010003-3
220019601011003,220010003-3
220019601011004,220010003-3
220019601011005,220010003-3
220019601011006,220010003-3
220019601012000,220010003-1
220019601012001,220010003-1
220019601012002,220010003-1
220019601012003,220010003-1
220019601012004,220010003-1
220019601012005,220010003-1
220019601012006,220010003-1
220019601012007,220010003-4
220019601012008,220010003-4
220019601012009,220010003-4
220019601012010,220010003-4
220019601012011,220010003-4
220019601012012,220010003-4
220019601012013,220010003-4
220019601012014,220010003-1
220019601012015,220010003-1
220019601012016,220010003-1
220019601012017,220010003-1
220019601012018,220010003-1
220019601012019,220010003-1
220019601012020,220010003-1
220019601012021,220010003-4
220019601012022,220010003-4
220019601013000,220010003-3
220019601013001,220010003-3
220019601013002,220010003-3
220019601013003,220010003-3
220019601013004,220010003-3
220019601013005,220010003-3
220019601013006,220010003-3
220019601013007,220010003-3
220019601013008,220010003-3
220019601013009,220010003-3
220019601013010,220010003-3
220019601013011,220010003-3
220019601013012,220010003-3
220019601013013,220010003-3
220019601013014,220010003-3
220019601013015,220010003-3
220019601013016,220010003-3
220019601013017,220010003-3
220019601013018,220010003-3
220019601013019,220010003-3
220019601013020,220010003-3
220019601013021,220010003-3
220019601013022,220010003-3
220019601013023,220010003-3
220019601013024,220010003-3
220019601013025,220010003-3
220019601013026,220010003-3
220019601013027,220010003-3
220019601013028,220010003-3
220019601013029,220010003-3
220019601014000,220010003-3
220019601014001,220010003-3
220019601014002,220010003-3
220019601014003,220010003-3
220019601014004,220010003-3
220019601014005,220010003-3
220019601014006,220010003-7
220019601014007,220010003-7
220019601014008,220010003-7
220019601015000,220010003-7
220019601015001,220010003-7
220019601015002,220010003-7
220019601015003,220010003-7
220019601015004,220010003-7
220019601015005,220010003-3
220019601015006,220010003-3
220019601015007,220010003-3
220019601015008,220010003-3
220019601015009,220010003-7
220019601016000,220010003-4
220019601016001,220010003-4
220019601016002,220010003-4
220019601016003,220010003-4
220019601016004,220010003-4
220019601016005,220010003-4
220019601016006,220010003-4
220019601016007,220010003-4
