#,MAP,CONTIGUOUS,POPDEV,ENERGY,EDIT_DISTANCE
10,NJ20C_I009K01N12,True,0.001980,253358.324130,0.000000
19,NJ20C_I018K01N12,True,0.001850,253936.172069,0.063429
29,NJ20C_I028K01N12,True,0.002670,254014.488958,0.040248
56,NJ20C_I055K01N12,True,0.002560,254415.596337,0.059779
20,NJ20C_I019K01N12,True,0.002510,254561.008742,0.098176
38,NJ20C_I037K01N12,True,0.003290,254647.355387,0.050636
86,NJ20C_I085K01N12,True,0.001710,254770.946764,0.028592
92,NJ20C_I091K01N12,True,0.002750,255350.587173,0.052927
53,NJ20C_I052K01N12,True,0.002510,256122.985400,0.096041
68,NJ20C_I067K01N12,True,0.001640,256303.120350,0.106369
80,NJ20C_I079K01N12,True,0.003420,256556.415687,0.072483
17,NJ20C_I016K01N12,True,0.001790,257364.581209,0.047604
78,NJ20C_I077K01N12,True,0.004300,257510.046687,0.091571
48,NJ20C_I047K01N12,True,0.001430,257939.914048,0.055545
71,NJ20C_I070K01N12,True,0.003610,259099.614786,0.089191
47,NJ20C_I046K01N12,True,0.001690,259401.115553,0.058937
59,NJ20C_I058K01N12,True,0.003310,259568.164607,0.089757
77,NJ20C_I076K01N12,True,0.002570,259869.869177,0.211678
16,NJ20C_I015K01N12,True,0.002500,260099.382248,0.182891
54,NJ20C_I053K01N12,True,0.003370,260413.203501,0.096394
64,NJ20C_I063K01N12,True,0.004060,260565.612021,0.078478
14,NJ20C_I013K01N12,True,0.003170,260916.192013,0.180448
72,NJ20C_I071K01N12,True,0.002450,261173.904010,0.168776
12,NJ20C_I011K01N12,True,0.002820,261444.138700,0.107497
95,NJ20C_I094K01N12,True,0.002770,261693.386663,0.252234
33,NJ20C_I032K01N12,True,0.001670,261699.374691,0.104662
84,NJ20C_I083K01N12,True,0.001490,262179.859429,0.235380
99,NJ20C_I098K01N12,True,0.002910,262556.511438,0.100378
2,NJ20C_I001K01N12,True,0.002830,262568.441293,0.218954
42,NJ20C_I041K01N12,True,0.004540,262692.931270,0.126184
91,NJ20C_I090K01N12,True,0.002500,263026.447004,0.248058
45,NJ20C_I044K01N12,True,0.003430,263161.345307,0.104529
8,NJ20C_I007K01N12,True,0.003380,263227.463791,0.142879
75,NJ20C_I074K01N12,True,0.003300,263281.665836,0.091468
22,NJ20C_I021K01N12,True,0.003000,264322.167145,0.263504
40,NJ20C_I039K01N12,True,0.002000,264903.013135,0.119609
87,NJ20C_I086K01N12,True,0.003230,265058.672982,0.126009
21,NJ20C_I020K01N12,True,0.002460,266752.679942,0.270478
37,NJ20C_I036K01N12,True,0.001500,268166.358812,0.216531
50,NJ20C_I049K01N12,True,0.002940,269120.863690,0.216198
70,NJ20C_I069K01N12,True,0.002900,269387.683913,0.314560
94,NJ20C_I093K01N12,True,0.003150,270203.027395,0.262886
18,NJ20C_I017K01N12,True,0.001720,270685.139987,0.186639
13,NJ20C_I012K01N12,True,0.001890,270967.045252,0.208965
30,NJ20C_I029K01N12,True,0.002850,271481.830163,0.108706
46,NJ20C_I045K01N12,True,0.003480,272592.284729,0.322973
52,NJ20C_I051K01N12,True,0.002390,272788.823630,0.165743
5,NJ20C_I004K01N12,True,0.002280,273349.556281,0.283432
83,NJ20C_I082K01N12,True,0.002310,273972.589627,0.146033
73,NJ20C_I072K01N12,True,0.002170,274030.729729,0.127240
60,NJ20C_I059K01N12,True,0.001700,274131.199737,0.129045
41,NJ20C_I040K01N12,True,0.002570,274222.607653,0.141581
69,NJ20C_I068K01N12,True,0.002790,274424.920501,0.145348
7,NJ20C_I006K01N12,True,0.002630,274838.112166,0.264083
15,NJ20C_I014K01N12,True,0.002270,274958.819889,0.224460
85,NJ20C_I084K01N12,True,0.003190,275408.505835,0.158198
79,NJ20C_I078K01N12,True,0.001600,275677.561085,0.222192
81,NJ20C_I080K01N12,True,0.001960,276477.158882,0.309001
34,NJ20C_I033K01N12,True,0.001580,280747.842248,0.213085
88,NJ20C_I087K01N12,True,0.002710,281359.934457,0.318604
4,NJ20C_I003K01N12,True,0.002010,282051.997607,0.219152
6,NJ20C_I005K01N12,True,0.003010,282127.943204,0.189714
93,NJ20C_I092K01N12,True,0.001630,282934.505924,0.203533
74,NJ20C_I073K01N12,True,0.002100,283284.424591,0.253999
1,NJ20C_I000K01N12,True,0.002530,283342.764209,0.323179
57,NJ20C_I056K01N12,True,0.003150,283570.253323,0.217714
3,NJ20C_I002K01N12,True,0.002030,284038.429545,0.198158
44,NJ20C_I043K01N12,True,0.002800,284067.059283,0.203109
11,NJ20C_I010K01N12,True,0.003460,284425.855927,0.232461
26,NJ20C_I025K01N12,True,0.002910,284931.532494,0.254686
98,NJ20C_I097K01N12,True,0.002240,285212.219394,0.262037
63,NJ20C_I062K01N12,True,0.003130,286068.323270,0.245616
97,NJ20C_I096K01N12,True,0.002190,286509.904844,0.336080
65,NJ20C_I064K01N12,True,0.004650,286940.758484,0.299543
89,NJ20C_I088K01N12,True,0.001880,287077.375032,0.293970
27,NJ20C_I026K01N12,True,0.005010,287179.327881,0.375800
32,NJ20C_I031K01N12,True,0.002870,287515.098900,0.298742
67,NJ20C_I066K01N12,True,0.001830,289401.327869,0.265220
24,NJ20C_I023K01N12,True,0.002870,290129.399024,0.384463
9,NJ20C_I008K01N12,True,0.003840,290336.459002,0.392150
31,NJ20C_I030K01N12,True,0.006500,290897.650473,0.342542
96,NJ20C_I095K01N12,True,0.003510,291367.144732,0.392202
62,NJ20C_I061K01N12,True,0.011130,291407.541402,0.408308
76,NJ20C_I075K01N12,True,0.002060,292516.958379,0.372682
35,NJ20C_I034K01N12,True,0.003170,292692.476256,0.432543
100,NJ20C_I099K01N12,True,0.002670,293763.255666,0.317844
58,NJ20C_I057K01N12,True,0.005000,294068.727003,0.403678
55,NJ20C_I054K01N12,True,0.003160,297378.921239,0.386792
