BLOCK,PRECINCT
090010101011000,0900101-086
090010101011001,0900101-086
090010101011002,0900101-086
090010101011003,0900101-086
090010101011004,0900101-086
090010101011005,0900101-086
090010101011006,0900101-086
090010101011007,0900101-086
090010101011008,0900101-086
090010101011009,0900101-086
090010101011010,0900101-086
090010101011011,0900101-086
090010101011012,0900101-086
090010101011013,0900101-086
090010101011014,0900101-086
090010101011015,0900101-086
090010101011016,0900101-086
090010101011017,0900101-086
090010101011018,0900101-086
090010101011019,0900101-086
090010101011020,0900101-086
090010101011021,0900101-086
090010101011022,0900101-086
090010101011023,0900101-086
090010101011024,0900101-086
090010101011025,0900101-086
090010101012000,0900101-086
090010101012001,0900101-086
090010101013000,0900101-086
090010101013001,0900101-086
090010101014000,0900101-086
090010101014001,0900101-086
090010101014002,0900101-086
090010101014003,0900101-085
090010101014004,0900101-085
090010101014005,0900101-085
090010101014006,0900101-085
090010101014007,0900101-085
090010101014008,0900101-085
090010101014009,0900101-086
090010101014010,0900101-086
090010101014011,0900101-086
090010101014012,0900101-086
090010101014013,0900101-086
090010101014014,0900101-086
090010101014015,0900101-085
090010101014016,0900101-086
090010101014017,0900101-085
090010101014018,0900101-085
090010101014019,0900101-085
090010101014020,0900101-085
090010101014021,0900101-085
090010101014022,0900101-085
090010101014023,0900101-085
090010101014024,0900101-085
090010101014025,0900101-085
090010101014026,0900101-086
090010101014027,0900101-086
090010101015000,0900101-086
090010101015001,0900101-086
090010101015002,0900101-086
090010101015003,0900101-086
090010101015004,0900101-086
090010101015005,0900101-086
090010101015006,0900101-086
090010101015007,0900101-086
090010101015008,0900101-086
090010101015009,0900101-086
090010101015010,0900101-086
090010101015011,0900101-086
090010101015012,0900101-086
090010101015013,0900101-086
090010101015014,0900101-086
090010101015015,0900101-086
090010101015016,0900101-086
090010101015017,0900101-086
090010101021000,0900101-088
090010101021001,0900101-088
090010101021002,0900101-088
090010101021003,0900101-088
090010101021004,0900101-088
090010101021005,0900101-088
090010101021006,0900101-088
090010101021007,0900101-088
090010101021008,0900101-088
090010101021009,0900101-088
090010101021010,0900101-088
090010101021011,0900101-088
090010101021012,0900101-088
090010101021013,0900101-088
090010101021014,0900101-088
090010101021015,0900101-088
090010101021016,0900101-088
090010101021017,0900101-088
090010101021018,0900101-088
090010101021019,0900101-088
090010101021020,0900101-087
090010101021021,0900101-088
090010101021022,0900101-087
090010101021023,0900101-087
090010101021024,0900101-087
090010101021025,0900101-087
090010101021026,0900101-087
090010101021027,0900101-087
090010101021028,0900101-087
090010101021029,0900101-087
090010101021030,0900101-087
090010101022000,0900101-088
090010101022001,0900101-088
090010101022002,0900101-086
090010101022003,0900101-088
090010101022004,0900101-088
090010101022005,0900101-088
090010101022006,0900101-088
090010101022007,0900101-088
090010101022008,0900101-088
090010101022009,0900101-087
090010101022010,0900101-087
090010101022011,0900101-088
090010101022012,0900101-087
090010101022013,0900101-086
090010101022014,0900101-086
090010101022015,0900101-088
090010101022016,0900101-086
090010101022017,0900101-086
090010101022018,0900101-087
090010101022019,0900101-088
090010101022020,0900101-088
090010101022021,0900101-088
090010101022022,0900101-088
090010101022023,0900101-086
090010101022024,0900101-086
090010101023000,0900101-088
090010101023001,0900101-088
090010101023002,0900101-088
090010101023003,0900101-088
090010101023004,0900101-088
090010101023005,0900101-088
090010101023006,0900101-086
090010101023007,0900101-086
090010101023008,0900101-086
090010101023009,0900101-088
090010101023010,0900101-088
090010101023011,0900101-088
090010101023012,0900101-088
090010101023013,0900101-088
090010101023014,0900101-088
090010101023015,0900101-088
090010101023016,0900101-086
090010101023017,0900101-086
090010101023018,0900101-086
090010101023019,0900101-086
090010101023020,0900101-088
090010101023021,0900101-088
090010101023022,0900101-088
090010101023023,0900101-088
090010101023024,0900101-088
090010101023025,0900101-088
090010101023026,0900101-088
090010101023027,0900101-086
090010101023028,0900101-086
090010101023029,0900101-086
090010101023030,0900101-086
090010101023031,0900101-086
090010101023032,0900101-086
090010101023033,0900101-086
090010101023034,0900101-086
090010101023035,0900101-088
090010101023036,0900101-088
