GEOID,POP,X,Y
44009442005,4068,-71.50493097880921,41.36020971406739
44009442004,3437,-71.46935784817914,41.42257405431813
44009443209,1349,-71.56983221331717,41.40996950000000
44009443205,3037,-71.50553457470176,41.43641572737950
44009443208,3317,-71.54706158540269,41.42446555296831
44009443603,4089,-71.82771120587324,41.36210307868109
44009443607,2905,-71.80984954673480,41.39529000000000
44009443601,1594,-71.75642833050718,41.37147992135606
44009443602,4458,-71.80445773621118,41.37310982636044
44009442305,1983,-71.50177753722782,41.53180144726129
44009442306,1890,-71.47379530289277,41.51626766820398
44009442301,2370,-71.51034052972524,41.57244413363003
44009442902,3982,-71.68562826297853,41.49389114143170
44009442303,3353,-71.41519573515633,41.60539746294462
44009442304,3304,-71.46328394899564,41.63158900000000
44009442901,4038,-71.63386920464768,41.50307635282920
44009441103,2542,-71.56505306181982,41.56300278940081
44009441101,1952,-71.53055921555976,41.53184517170831
44009441102,1966,-71.69233550825547,41.57461187704226
44009442003,3533,-71.42519980456586,41.48497234290945
44009442308,3337,-71.43980888156977,41.53270197473839
44009443604,3154,-71.83100164225024,41.28346784669547
44009440503,1916,-71.69077238076318,41.33454665998053
44009443210,2201,-71.59862565360197,41.35436671077478
44009440504,1584,-71.64363154177292,41.37185540972326
44009443202,2637,-71.47483386737041,41.47261901405873
44009443204,3100,-71.49939600801038,41.45355677945130
44009442001,311,-71.45237474968845,41.43954260269265
44009443606,4127,-71.82256077240473,41.40413280107953
44009442002,3183,-71.43705816018296,41.46060154282196
44009440502,2151,-71.62323828002522,41.42027142090879
44003440905,3368,-71.51946598097537,41.62308282004255
44003443514,4181,-71.40300221339020,41.72853548087663
44003443809,2811,-71.50838338006041,41.67346037076660
44003443520,3565,-71.39792727469855,41.69084465145909
44003443522,2297,-71.40925557614688,41.70274960793721
44003440904,3362,-71.48205575307564,41.63166037822119
44003443519,3896,-71.36054695881141,41.68999204229046
44003443518,3876,-71.38721594779274,41.68960827596281
44009442302,4143,-71.47841173924289,41.60020211816124
44003443701,1896,-71.70776364548063,41.64632304617994
44003443703,1345,-71.72914410065100,41.61532132764846
44003443704,1387,-71.59956352519082,41.62452859987737
44003443530,3283,-71.48225162856734,41.68104792711391
44003443532,2070,-71.48126053859390,41.71693233886410
44003443529,2803,-71.48121993057904,41.69676583255040
44003443503,2103,-71.40956815510272,41.75278178868228
44003443511,3483,-71.46108564948292,41.72446599568778
44003443509,832,-71.44636777994239,41.73152772580601
44003443501,3044,-71.38416857908994,41.74620376528681
44003443502,3003,-71.39993409291139,41.74459693156698
44003440616,2479,-71.57248082511080,41.66941365488984
44003440613,2081,-71.55736881910586,41.67283124640977
44003440614,1097,-71.59003468775384,41.66965326843239
44003440604,2210,-71.54388215549649,41.67358839525964
44007442826,4564,-71.42230980991874,41.79933590131135
44007442827,4398,-71.41653311915576,41.79311757885718
44007442824,4891,-71.43077547661908,41.79428999495307
44007443001,3300,-71.61352874523666,41.79342899850666
44007443002,3776,-71.61521674353703,41.74670753100911
44007440811,3364,-71.40275618456710,41.91956012609555
44007440810,3666,-71.38969715565501,41.90557076401035
44007440305,2406,-71.65269118160928,41.94830632900034
44007440306,2398,-71.61691092320412,41.96972002282045
44007442501,2894,-71.53583389879236,41.95482052745874
44007442502,2879,-71.56793629231252,41.97745828906019
44007440702,3908,-71.45494283876052,41.79528914635448
44007440701,5189,-71.44995934342796,41.80295719271061
44007440705,990,-71.44379623352664,41.79558796976049
44007442812,3914,-71.41726165466011,41.84727897870690
44007442819,3772,-71.41975297815769,41.85624425019925
44007440303,3294,-71.66249755369459,41.98108856714386
44007440304,2066,-71.70336916997303,41.99229094924971
44007440301,3321,-71.71337151699443,41.94394378532568
44007440302,2673,-71.76073340289091,41.97164577397671
44007442618,4404,-71.34763646267089,41.89343801638360
44007442805,3237,-71.38406768042179,41.83447711498279
44007442808,3259,-71.38627635609542,41.82690580628763
44007440721,3419,-71.44255667052006,41.77924106398526
44007440718,1386,-71.45345452081644,41.77710544999732
44007440722,2328,-71.45061357651156,41.78532843927455
44007440707,2729,-71.51144081623123,41.74336366595254
44007440730,4307,-71.53582691705844,41.76613477206544
44007440706,2929,-71.49988015806247,41.77153184033266
44007441602,2425,-71.53196579798330,41.80121926751550
44007441202,2057,-71.72920680247994,41.75661258179822
44007440401,4582,-71.38597771116423,41.88794962605119
44007440403,4598,-71.39292581481313,41.88538127340209
44007441009,5158,-71.37941889879305,41.80883320567956
44007441008,4948,-71.37621255622339,41.82024350307731
44007442854,4502,-71.44854902853814,41.83671496122859
44007442849,3840,-71.45999822172729,41.83862467908310
44003443801,3804,-71.52668708826457,41.71230945718801
44003443805,2456,-71.52510226472859,41.72174806024321
44003443803,1517,-71.52007777869395,41.69122606786912
44003443807,4440,-71.51728090828462,41.68615568621716
44003443804,4813,-71.50879882643589,41.72046317185311
44003443806,1725,-71.49167413630407,41.72653189680319
44007440708,3349,-71.48607811076471,41.74594919794919
44007440704,864,-71.44135535753415,41.78986002333586
44007440405,1607,-71.39960555925573,41.88315096851207
44007440408,3084,-71.40208635210730,41.89039337661177
44007441704,3478,-71.42582876366112,41.89363717682103
44007442605,2577,-71.40041449849146,41.87416477043020
44007442606,2777,-71.39905895564729,41.87866819783206
44007442602,3504,-71.40096329610837,41.86525732435118
44007442813,3275,-71.42196401567510,41.83725911868775
44007442834,1628,-71.38590268509557,41.79298296450364
44007441011,3729,-71.36176528531733,41.78867038254369
44007442832,4315,-71.40144700797387,41.79222483747306
44007441010,3989,-71.36953090240885,41.80035418718393
44007441302,3511,-71.73436930834569,41.88784037206211
44007441303,843,-71.74795856723085,41.92444828217847
44007440711,2874,-71.47569316291640,41.76978164458152
44007440716,3041,-71.48104911924135,41.78070863331276
44007440713,2888,-71.45158409536818,41.75825652821266
44007443903,2139,-71.51735775057482,42.00461456994257
44007443912,2862,-71.52106463529154,42.01131670828021
44007443003,3308,-71.63733291033806,41.83894989207016
44007440804,1034,-71.44320142083889,42.00436777643733
44007440808,3634,-71.39741823151854,41.99431332691405
44007442622,725,-71.35996046462581,41.87784102431652
44007442620,4832,-71.35497026426594,41.88333700713245
44007442616,728,-71.36367203256826,41.88162061684592
44007442617,966,-71.36879003365495,41.87958169569453
44007442623,993,-71.35761909282004,41.87569370329957
44007443905,3816,-71.49285599195487,41.99263097506489
44007442613,4863,-71.37657275822144,41.88813649480875
44007442615,1569,-71.37544523553548,41.87957467278383
44007442404,1247,-71.46827374719058,41.85709550778868
44007442603,4283,-71.41479494155965,41.87347252994666
44007442415,2179,-71.42292672189771,41.86926516036100
44007441707,798,-71.42621823257882,41.88132734484034
44007442828,3424,-71.42393623969066,41.80769993260550
44007442803,4707,-71.40076530153884,41.83198551499525
44007443902,2694,-71.50810135904314,42.00986071097157
44007443901,1416,-71.50323912522090,42.00502327563290
44007442848,827,-71.45258007729645,41.82269209577042
44007442867,481,-71.44588941117006,41.81743805453002
44007440709,5074,-71.47116407179118,41.74297587051035
44007442880,1667,-71.40554099757522,41.84898414712364
44007442816,3711,-71.39562116356376,41.85198370002639
44007442817,3614,-71.39706865669170,41.84253322577410
44007442815,1704,-71.38162252044930,41.84713887767485
44007440404,3348,-71.39606166710044,41.88987552158644
44007440407,939,-71.39850743179346,41.89191049999999
44007440805,3522,-71.39002702145717,41.92454876670406
44007442601,1183,-71.40900612638438,41.87708844090245
44007442847,1884,-71.45483684928743,41.82466853999167
44007442877,1655,-71.45988962998548,41.80691294118662
44007442875,5447,-71.45712640785653,41.81240751995514
44007442831,3095,-71.40410327312192,41.80097807297836
44007442810,515,-71.40886322947762,41.81914865771709
44007442840,1052,-71.41277604815795,41.81308515950548
44007442833,2330,-71.40275714176150,41.81074750000000
44007442879,3192,-71.40600624499739,41.80548824792442
44003443504,2595,-71.39662060081284,41.76113339873302
44003443507,712,-71.45341016592896,41.69574388984618
44003443528,1579,-71.46122822568195,41.69145903686758
44003443523,3097,-71.41588653950907,41.68646676599684
44003443506,1531,-71.43986886754962,41.72578274523938
44003440607,2665,-71.58555765475819,41.71166308242178
44003440608,3013,-71.56642962529024,41.70562644676934
44003440612,2288,-71.54638523059147,41.68857058140944
44003440611,1574,-71.59056088546234,41.68912363826661
44007442814,2070,-71.43066904498444,41.85103851998166
44007442604,2029,-71.41076159070802,41.86445737784732
44007441015,1015,-71.36470216412233,41.74912924994197
44007442811,4109,-71.42523253121215,41.84460822186018
44007442628,3325,-71.34806999582939,41.86445003775009
44007442629,4742,-71.36430099936793,41.86731208900548
44007442825,1380,-71.43070440211692,41.80941600000000
44007442866,1994,-71.43192804092902,41.81418583102047
44007442822,1293,-71.43044204684266,41.81135033118234
44007442627,3143,-71.37696033197216,41.86785834984899
44007442625,1447,-71.37585382635692,41.87499544428042
44007442624,822,-71.34586214200809,41.87038471686967
44007442619,2150,-71.34431415811629,41.88285810892183
44007441005,2180,-71.34874955481730,41.83335249701489
44007442416,3177,-71.43519181623873,41.87289654030625
44005441502,2823,-71.38569993454388,41.50695318422267
44005441501,2736,-71.35128510085944,41.53940770452126
44005442107,3480,-71.33259664512198,41.46249726775597
44005442106,4821,-71.32327690240911,41.48320818788089
44005ZZZZZZ,0,-71.30263602240925,41.41025390529506
