map,population_deviation,estimated_vote_pct,pr_deviation,pr_seats,pr_pct,estimated_seats,estimated_seat_pct,fptp_seats,disproportionality,efficiency_gap,gamma,seats_bias,votes_bias,geometric_seats_bias,global_symmetry,declination,mean_median_statewide,mean_median_average_district,turnout_bias,lopsided_outcomes,competitive_districts,competitive_district_pct,responsiveness,responsive_districts,responsive_district_pct,overall_responsiveness,avg_dem_win_pct,avg_rep_win_pct,opportunity_districts,proportional_opportunities,coalition_districts,proportional_coalitions,reock,polsby_popper,county_splitting,district_splitting,proportionality,competitiveness,minority,compactness,splitting
I068K01N14,0.008300,0.494300,0.054300,7,0.500000,6.240500,0.445700,7,0.048500,0.042800,0.028900,0.028500,0.006200,0.028200,0.007800,3.401700,-0.005900,-0.006200,0.000400,0.001800,5.780500,0.412900,4.430300,5.780500,0.412900,9.487100,0.562800,0.574900,0.000000,5,7.505000,5,0.502400,0.361700,1.268100,1.985300,76,55,50,82,14
I069K01N14,0.016200,0.494300,0.046400,7,0.500000,6.350100,0.453600,7,0.040700,0.035000,0.019300,0.019500,0.004100,0.019300,0.006200,2.012500,0.001800,0.000700,0.001100,-0.002200,6.022800,0.430200,4.744700,6.022800,0.430200,8.117500,0.563000,0.576600,0.733700,5,7.538200,5,0.531400,0.346300,1.295100,2.084700,80,57,58,81,10
I070K01N14,0.009800,0.494300,0.019100,7,0.500000,6.733100,0.480900,7,0.013300,0.007600,-0.011000,-0.010400,-0.002000,-0.010500,-0.003600,-0.956500,-0.005400,-0.005800,0.000400,-0.008300,6.779800,0.484300,5.256200,6.779800,0.484300,3.333900,0.552200,0.564400,0.000000,5,8.132900,5,0.458000,0.302400,1.284700,2.147500,93,65,50,67,12
I071K01N14,0.007200,0.494300,0.067100,7,0.500000,6.061000,0.432900,6,0.061400,0.055600,0.043000,0.042100,0.009200,0.041600,0.011300,5.308700,0.002200,0.001800,0.000300,0.006200,5.595700,0.399700,4.202200,5.595700,0.399700,11.729700,0.577500,0.568700,0.000000,5,7.568200,5,0.522400,0.370600,1.270700,2.012800,69,53,50,84,14
I072K01N14,0.012400,0.494300,0.049000,7,0.500000,6.313900,0.451000,6,0.043300,0.037600,0.027600,0.026300,0.006300,0.025700,0.007200,2.937700,0.005800,0.005400,0.000400,0.000700,4.889600,0.349300,3.737600,4.889600,0.349300,8.570400,0.576200,0.567900,0.000000,5,8.209500,5,0.512200,0.345900,1.288800,2.070800,78,47,50,80,11
I073K01N14,0.013900,0.494300,0.027100,7,0.500000,6.620500,0.472900,7,0.021400,0.015700,0.003500,0.003600,0.000900,0.003200,0.003200,0.268400,-0.004200,-0.004500,0.000300,-0.005400,5.120300,0.365700,4.124700,5.120300,0.365700,4.740000,0.563000,0.575000,0.000000,5,7.382800,5,0.488200,0.341200,1.267400,2.096000,89,49,50,78,14
I074K01N14,0.009700,0.494300,0.038300,7,0.500000,6.464400,0.461700,7,0.032500,0.026800,0.013000,0.013800,0.003200,0.013600,0.005200,1.350500,-0.005200,-0.006000,0.000800,-0.003400,5.480300,0.391500,4.410500,5.480300,0.391500,6.690300,0.564300,0.577300,0.730500,5,6.792100,5,0.540700,0.375800,1.279800,2.012700,84,52,58,84,12
I075K01N14,0.007000,0.494300,0.044400,7,0.500000,6.378600,0.455600,7,0.038700,0.033000,0.015900,0.016000,0.003200,0.015800,0.005100,1.761900,0.000600,0.000100,0.000500,-0.002200,6.472900,0.462400,4.985700,6.472900,0.462400,7.762100,0.558800,0.571300,0.000000,5,7.602800,5,0.463500,0.345500,1.277000,2.068700,81,62,50,73,13
I076K01N14,0.017300,0.494300,0.025100,7,0.500000,6.648400,0.474900,6,0.019400,0.013700,-0.003200,-0.003300,-0.000700,-0.003500,-0.003700,-0.250400,0.005100,0.004800,0.000300,-0.006600,6.430600,0.459300,4.954500,6.430600,0.459300,4.392200,0.565700,0.559900,0.000000,5,8.285300,5,0.448100,0.311200,1.288000,2.112600,90,61,50,66,12
I077K01N14,0.009200,0.494300,0.003600,7,0.500000,6.949200,0.496400,8,-0.002100,-0.007800,-0.020400,-0.018700,-0.004800,-0.018500,-0.003200,-2.199500,-0.019700,-0.020000,0.000300,-0.011200,5.118900,0.365600,4.199400,5.118900,0.365600,0.635000,0.557500,0.590800,0.000000,5,7.592800,5,0.486600,0.303200,1.283500,2.027600,100,49,50,73,12
