map,population_deviation,estimated_vote_pct,pr_deviation,pr_seats,pr_pct,estimated_seats,estimated_seat_pct,fptp_seats,disproportionality,efficiency_gap,gamma,seats_bias,votes_bias,geometric_seats_bias,global_symmetry,declination,mean_median_statewide,mean_median_average_district,turnout_bias,lopsided_outcomes,competitive_districts,competitive_district_pct,responsiveness,responsive_districts,responsive_district_pct,overall_responsiveness,avg_dem_win_pct,avg_rep_win_pct,opportunity_districts,proportional_opportunities,coalition_districts,proportional_coalitions,reock,polsby_popper,county_splitting,district_splitting,proportionality,competitiveness,minority,compactness,splitting
I023K01N14,0.008600,0.494300,0.044400,7,0.500000,6.378100,0.455600,7,0.038700,0.033000,0.018000,0.017700,0.003700,0.017300,0.004400,1.963600,-0.001900,-0.002500,0.000500,-0.001800,6.079400,0.434200,4.625700,6.079400,0.434200,7.768600,0.560700,0.573200,0.000000,5,7.489200,5,0.492400,0.312900,1.288600,2.091800,81,58,50,75,11
I024K01N14,0.008800,0.494300,0.013200,7,0.500000,6.815300,0.486800,8,0.007500,0.001800,-0.011800,-0.010600,-0.002600,-0.010600,-0.001800,-1.266700,-0.014100,-0.014500,0.000400,-0.009100,5.409600,0.386400,4.378600,5.409600,0.386400,2.307300,0.554200,0.586600,0.000000,5,6.695600,5,0.497400,0.321800,1.296200,2.052600,96,52,50,77,10
I025K01N14,0.008600,0.494300,0.037600,7,0.500000,6.473500,0.462400,6,0.031900,0.026200,0.013100,0.013300,0.003100,0.013100,0.004700,1.660400,-0.000500,-0.000900,0.000400,-0.002300,5.563700,0.397400,4.283500,5.563700,0.397400,6.576200,0.576600,0.568100,0.000000,5,7.585800,5,0.507200,0.297900,1.318300,2.182500,84,53,50,74,7
I026K01N14,0.010800,0.494300,0.051700,7,0.500000,6.276800,0.448300,6,0.045900,0.040200,0.029000,0.027200,0.006000,0.026500,0.007400,3.009200,0.015600,0.015200,0.000400,0.000800,5.235000,0.373900,3.968400,5.235000,0.373900,9.033800,0.573700,0.566000,0.000000,5,8.192200,5,0.507100,0.355900,1.301700,2.117900,77,50,50,82,10
I027K01N14,0.005700,0.494300,0.054600,7,0.500000,6.235700,0.445400,7,0.048900,0.043200,0.029900,0.029500,0.006500,0.029200,0.008400,3.636800,0.002700,0.002200,0.000500,0.002200,5.695900,0.406800,4.312100,5.695900,0.406800,9.546700,0.566000,0.578500,0.000000,5,7.644100,5,0.493000,0.332800,1.268800,2.102000,76,54,50,78,14
I028K01N14,0.009800,0.494300,-0.017400,7,0.500000,7.243300,0.517400,8,-0.023100,-0.028800,-0.031900,-0.030800,-0.012400,-0.030700,-0.009000,-5.272800,-0.021000,-0.022000,0.001000,-0.019700,3.043800,0.217400,2.543900,3.043800,0.217400,-3.038600,0.577300,0.618700,0.709600,5,6.885800,5,0.494200,0.336300,1.285700,2.042200,91,29,57,78,12
I029K01N14,0.011600,0.494300,0.062700,7,0.500000,6.122000,0.437300,7,0.057000,0.051300,0.039700,0.039400,0.009300,0.039000,0.011600,4.970400,-0.000600,-0.001100,0.000500,0.005400,5.253900,0.375300,4.025200,5.253900,0.375300,10.967200,0.570000,0.582400,0.000000,5,6.851100,5,0.514100,0.374400,1.284100,2.042100,72,50,50,84,12
I030K01N14,0.010600,0.494300,0.055500,7,0.500000,6.222700,0.444500,7,0.049800,0.044100,0.027400,0.026700,0.005100,0.026200,0.006800,3.020000,-0.000900,-0.001300,0.000400,0.000700,6.532100,0.466600,4.922300,6.532100,0.466600,9.709700,0.558500,0.570800,0.000000,5,8.229200,5,0.494600,0.342700,1.280500,2.064300,75,62,50,80,12
I031K01N14,0.015400,0.494300,0.049200,7,0.500000,6.311100,0.450800,7,0.043500,0.037800,0.023100,0.023500,0.005100,0.023300,0.008500,2.265400,0.003300,0.001400,0.001900,-0.002400,5.811000,0.415100,4.561600,5.811000,0.415100,8.604800,0.565200,0.580400,0.000000,5,7.479800,5,0.517300,0.343300,1.302200,2.097400,78,55,50,80,9
I032K01N14,0.008400,0.494300,0.022800,7,0.500000,6.681200,0.477200,8,0.017100,0.011300,-0.002000,-0.001100,-0.000300,-0.001100,-0.001200,-0.096400,-0.019900,-0.020100,0.000200,-0.006200,5.445300,0.388900,4.334800,5.445300,0.388900,3.982600,0.556000,0.588600,0.000000,5,8.037800,5,0.488200,0.348100,1.262600,2.016300,91,52,50,78,15
I033K01N14,0.009300,0.494300,0.010800,7,0.500000,6.849000,0.489200,7,0.005100,-0.000600,-0.006300,-0.006200,-0.002100,-0.006400,-0.004700,-1.187100,-0.001000,-0.002000,0.001000,-0.009600,3.702800,0.264500,2.983000,3.702800,0.264500,1.886600,0.586100,0.599400,0.000000,5,8.488200,5,0.524200,0.322900,1.326100,2.178800,97,35,50,78,6
I034K01N14,0.006600,0.494300,0.031800,7,0.500000,6.555100,0.468200,7,0.026100,0.020300,0.009700,0.010200,0.002700,0.010100,0.004000,1.199400,-0.009500,-0.009700,0.000200,-0.003100,4.882000,0.348700,3.857700,4.882000,0.348700,5.557100,0.568400,0.580300,0.000000,5,6.791600,5,0.515700,0.358400,1.260000,1.985800,87,46,50,82,16
I035K01N14,0.008100,0.494300,0.060700,7,0.500000,6.150600,0.439300,5,0.055000,0.049200,0.039000,0.038600,0.009600,0.038300,0.011300,4.912300,-0.000500,-0.001200,0.000600,0.005200,4.937700,0.352700,3.785400,4.937700,0.352700,10.610500,0.599400,0.565100,0.000000,5,7.721300,5,0.513000,0.360000,1.280000,2.045800,73,47,50,82,12
I036K01N14,0.005900,0.494300,0.005600,7,0.500000,6.922200,0.494400,9,-0.000200,-0.005900,-0.024000,-0.022500,-0.004600,-0.022300,-0.004500,-2.099300,-0.012600,-0.012900,0.000300,-0.010800,6.610900,0.472200,5.171900,6.610900,0.472200,0.972400,0.542700,0.593800,0.000000,5,7.557600,5,0.465600,0.325900,1.279500,2.111500,100,63,50,71,12
I037K01N14,0.009900,0.494300,0.021100,7,0.500000,6.704700,0.478900,8,0.015400,0.009700,-0.005400,-0.004600,-0.001000,-0.004600,-0.001500,-0.440000,-0.013400,-0.013800,0.000400,-0.007200,5.951900,0.425100,4.628000,5.951900,0.425100,3.688600,0.553400,0.585500,0.000000,5,7.532400,5,0.483400,0.342800,1.252600,2.023300,92,57,50,77,16
I038K01N14,0.008200,0.494300,0.054400,7,0.500000,6.239100,0.445600,6,0.048600,0.042900,0.034300,0.033700,0.008900,0.033300,0.009300,4.386400,0.001700,0.001200,0.000500,0.004100,4.618500,0.329900,3.506100,4.618500,0.329900,9.504900,0.586100,0.575500,0.000000,5,7.590200,5,0.503100,0.325300,1.288600,2.136000,76,44,50,78,11
I039K01N14,0.008800,0.494300,0.033500,7,0.500000,6.531400,0.466500,8,0.027800,0.022000,0.007300,0.007800,0.001700,0.007600,0.002800,0.866300,-0.010300,-0.010700,0.000400,-0.004200,5.884400,0.420300,4.569400,5.884400,0.420300,5.852800,0.553200,0.585200,0.000000,5,8.257100,5,0.503000,0.334700,1.286500,2.069400,86,56,50,80,12
I040K01N14,0.005400,0.494300,0.051500,7,0.500000,6.279300,0.448500,6,0.045800,0.040000,0.030100,0.028500,0.006700,0.027800,0.007600,3.424600,0.015700,0.015700,0.000000,0.002200,4.863600,0.347400,3.738300,4.863600,0.347400,9.002800,0.578300,0.568800,0.000000,5,7.420800,5,0.508600,0.336900,1.290100,2.086000,77,46,50,80,11
I041K01N14,0.006400,0.494300,0.009400,7,0.500000,6.868600,0.490600,8,0.003700,-0.002000,-0.012100,-0.011300,-0.003100,-0.011400,-0.004000,-1.733800,-0.013700,-0.014500,0.000800,-0.010600,4.657800,0.332700,3.757300,4.657800,0.332700,1.641900,0.557700,0.592300,0.817800,5,7.616700,5,0.439500,0.299100,1.288700,2.035700,98,44,58,63,11
I042K01N14,0.006100,0.494300,0.059200,7,0.500000,6.170700,0.440800,6,0.053500,0.047800,0.037700,0.037500,0.009500,0.037200,0.011000,4.521700,0.000800,-0.000300,0.001100,0.003800,4.882800,0.348800,3.763900,4.882800,0.348800,10.359500,0.582700,0.574000,0.000000,5,7.649500,5,0.517600,0.352900,1.280800,2.020500,73,47,50,82,12
I043K01N14,0.012300,0.494300,0.055400,7,0.500000,6.224700,0.444600,7,0.049700,0.043900,0.031900,0.031000,0.006900,0.030400,0.007400,3.657200,0.003100,0.002900,0.000200,0.002500,5.299000,0.378500,4.104600,5.299000,0.378500,9.683900,0.564100,0.575900,0.000000,5,6.623600,5,0.488500,0.327600,1.276300,2.012300,75,50,50,76,13
I044K01N14,0.008100,0.494300,0.010200,7,0.500000,6.857900,0.489800,8,0.004400,-0.001300,-0.012400,-0.011100,-0.003000,-0.010900,-0.003900,-1.099800,-0.015900,-0.015900,0.000000,-0.008300,4.948400,0.353500,3.935100,4.948400,0.353500,1.775200,0.567000,0.602600,0.000000,5,7.611100,5,0.506300,0.334000,1.280100,2.044300,98,47,50,79,12
I045K01N14,0.006900,0.494300,0.004500,7,0.500000,6.937000,0.495500,8,-0.001200,-0.006900,-0.021700,-0.020600,-0.004700,-0.020500,-0.006600,-2.268400,-0.014700,-0.015300,0.000600,-0.011500,5.895000,0.421100,4.588900,5.895000,0.421100,0.786800,0.552000,0.584000,0.817800,5,7.482400,5,0.424200,0.302600,1.285300,2.080200,100,56,58,60,12
I046K01N14,0.020700,0.494300,0.015300,7,0.500000,6.786500,0.484700,7,0.009500,0.003800,-0.006100,-0.005600,-0.001500,-0.005600,-0.004100,-0.812800,-0.001700,-0.002900,0.001200,-0.008900,4.847400,0.346200,3.737700,4.847400,0.346200,2.667200,0.579400,0.593200,0.000000,5,8.415600,5,0.483800,0.287900,1.309700,2.176400,95,46,50,70,8
I047K01N14,0.008600,0.494300,0.081300,7,0.500000,5.862200,0.418700,6,0.075600,0.069800,0.056300,0.055500,0.011600,0.054900,0.015600,6.463100,0.016000,0.014700,0.001300,0.007800,5.595100,0.399600,4.366200,5.595100,0.399600,14.212600,0.577500,0.570500,0.000000,5,9.188100,5,0.492600,0.338900,1.293900,2.080400,62,53,50,78,10
I048K01N14,0.008400,0.494300,0.070400,7,0.500000,6.015100,0.429600,6,0.064600,0.058900,0.050200,0.049600,0.012700,0.049100,0.014200,6.199700,0.016300,0.015200,0.001000,0.007800,4.464800,0.318900,3.521900,4.464800,0.318900,12.302700,0.586600,0.576700,0.702800,5,7.657400,5,0.507300,0.350300,1.287400,2.121600,68,43,57,82,12
I049K01N14,0.010300,0.494300,0.023900,7,0.500000,6.665900,0.476100,8,0.018100,0.012400,-0.006400,-0.005600,-0.001100,-0.005500,-0.001800,-0.307000,-0.014500,-0.014700,0.000200,-0.006600,6.866200,0.490400,5.290400,6.866200,0.490400,4.173800,0.549600,0.579900,0.000000,5,7.704500,5,0.467300,0.331000,1.278700,2.100800,91,65,50,72,12
I050K01N14,0.009700,0.494300,0.013100,7,0.500000,6.817000,0.486900,7,0.007400,0.001600,-0.006300,-0.006000,-0.001800,-0.006200,-0.002500,-0.754900,-0.004800,-0.005300,0.000500,-0.008000,4.296400,0.306900,3.381700,4.296400,0.306900,2.286400,0.581900,0.594300,0.000000,5,8.395000,5,0.513900,0.312600,1.289000,2.126500,96,41,50,76,11
I051K01N14,0.010200,0.494300,0.030300,7,0.500000,6.575300,0.469700,7,0.024600,0.018900,0.006100,0.005800,0.001300,0.005400,0.002900,0.704700,-0.001300,-0.001400,0.000100,-0.004200,5.405400,0.386100,4.244300,5.405400,0.386100,5.305500,0.561800,0.573400,0.000000,5,7.415700,5,0.488200,0.312000,1.281700,2.124700,88,51,50,74,12
I052K01N14,0.010000,0.494300,0.033300,7,0.500000,6.533400,0.466700,7,0.027600,0.021900,0.011800,0.011400,0.002900,0.011000,0.003500,0.843300,0.008400,0.006900,0.001400,-0.005200,4.831400,0.345100,3.762800,4.831400,0.345100,5.827900,0.567200,0.581600,0.716000,5,8.250500,5,0.446400,0.334900,1.263900,1.984400,86,46,57,69,15
