#,MAP,CONTIGUOUS,POPDEV,ENERGY,EDIT_DISTANCE
10,NC20C_I009K01N14,True,0.006830,1636047.131931,0.242590
49,NC20C_I048K01N14,True,0.008350,1639386.172323,0.251380
70,NC20C_I069K01N14,True,0.016200,1649382.312917,0.195100
7,NC20C_I006K01N14,True,0.012710,1652714.824889,0.311334
13,NC20C_I012K01N14,True,0.006090,1653464.152124,0.196547
53,NC20C_I052K01N14,True,0.009990,1654843.224724,0.250705
100,NC20C_I099K01N14,True,0.007670,1668979.951796,0.280430
79,NC20C_I078K01N14,True,0.005660,1681523.403480,0.344082
42,NC20C_I041K01N14,True,0.006410,1690124.254668,0.226780
46,NC20C_I045K01N14,True,0.006950,1693352.998762,0.208355
47,NC20C_I046K01N14,True,0.020680,1701047.394942,0.326285
21,NC20C_I020K01N14,True,0.006200,1740425.247583,0.324707
19,NC20C_I018K01N14,True,0.006170,1750439.421971,0.320404
29,NC20C_I028K01N14,True,0.009820,1783918.133924,0.301285
34,NC20C_I033K01N14,True,0.009340,1844434.357192,0.358594
