#,MAP,CONTIGUOUS,ENERGY,POPDEV,DELTA,SHARED,UOM,ES
65,AL20C_I064K01N07,True,2259939.430501,0.006310,0.025755,0.840186,0.704791,0.407097
100,AL20C_I099K01N07,True,2259983.925597,0.011740,0.025776,0.703502,0.956478,0.823460
97,AL20C_I096K01N07,True,2261707.334175,0.008120,0.026558,0.704378,0.952004,0.821784
64,AL20C_I063K01N07,True,2263128.807033,0.008630,0.027203,0.700993,0.953488,0.828398
16,AL20C_I015K01N07,True,2263128.807033,0.008630,0.027203,0.700993,0.953488,0.828398
14,AL20C_I013K01N07,True,2263128.807033,0.008620,0.027203,0.700993,0.953488,0.828398
6,AL20C_I005K01N07,True,2272969.073479,0.002240,0.031669,0.691605,0.969530,0.855577
32,AL20C_I031K01N07,True,2275838.512945,0.004610,0.032972,0.811716,0.785016,0.494847
85,AL20C_I084K01N07,True,2276040.704322,0.002060,0.033064,0.686887,0.983726,0.872217
57,AL20C_I056K01N07,True,2276040.704322,0.002060,0.033064,0.686887,0.983726,0.872217
36,AL20C_I035K01N07,True,2326652.575112,0.007210,0.056036,0.813815,0.628714,0.475866
67,AL20C_I066K01N07,True,2336706.690036,0.009350,0.060599,0.768820,0.718238,0.653007
70,AL20C_I069K01N07,True,2347071.787104,0.011070,0.065304,0.641790,1.018636,0.959291
28,AL20C_I027K01N07,True,2373577.223959,0.010000,0.077334,0.661384,1.052687,0.979113
34,AL20C_I033K01N07,True,2374092.461488,0.009510,0.077568,0.659569,1.037108,0.973411
