MAP,ENERGY
AL20C_I000K01N07,1354024.815075
AL20C_I001K01N07,1339391.018279
AL20C_I002K01N07,1337987.167489
AL20C_I003K01N07,1343511.321225
AL20C_I004K01N07,1339391.410297
AL20C_I005K01N07,1352702.894933
AL20C_I006K01N07,1354024.815075
AL20C_I007K01N07,1377098.753199
AL20C_I008K01N07,1357260.133043
AL20C_I009K01N07,1345017.734075
AL20C_I010K01N07,1354829.698520
AL20C_I011K01N07,1346344.990448
AL20C_I012K01N07,1349131.862472
AL20C_I013K01N07,1340787.379805
AL20C_I014K01N07,1344010.031050
AL20C_I015K01N07,1340787.379805
AL20C_I016K01N07,1336818.583462
AL20C_I017K01N07,1346363.069425
AL20C_I018K01N07,1351049.266280
AL20C_I019K01N07,1351854.095627
AL20C_I020K01N07,1348375.724728
AL20C_I021K01N07,1346641.120873
AL20C_I022K01N07,1349999.775109
AL20C_I023K01N07,1340791.819058
AL20C_I024K01N07,1343278.751832
AL20C_I025K01N07,1374561.098421
AL20C_I026K01N07,1375946.999241
AL20C_I027K01N07,1487145.260172
AL20C_I028K01N07,1378123.561909
AL20C_I029K01N07,1342873.334207
AL20C_I030K01N07,1346855.485463
AL20C_I031K01N07,1377850.648122
AL20C_I032K01N07,1335430.065488
AL20C_I033K01N07,1493934.910903
AL20C_I034K01N07,1341732.391344
AL20C_I035K01N07,1387847.189315
AL20C_I036K01N07,1340498.976714
AL20C_I037K01N07,1345595.249173
AL20C_I038K01N07,1336828.822025
AL20C_I039K01N07,1380404.149689
AL20C_I040K01N07,1344003.235557
AL20C_I041K01N07,1353311.591004
AL20C_I042K01N07,1351167.480114
AL20C_I043K01N07,1343786.682352
AL20C_I044K01N07,1348549.124471
AL20C_I045K01N07,1342227.790567
AL20C_I046K01N07,1335173.563238
AL20C_I047K01N07,1346344.990448
AL20C_I048K01N07,1339344.272683
AL20C_I049K01N07,1357928.733153
AL20C_I050K01N07,1357260.133043
AL20C_I051K01N07,1348688.390910
AL20C_I052K01N07,1343736.335502
AL20C_I053K01N07,1370167.558672
AL20C_I054K01N07,1348073.908798
AL20C_I055K01N07,1348652.219745
AL20C_I056K01N07,1352664.285787
AL20C_I057K01N07,1414386.680437
AL20C_I058K01N07,1373709.500065
AL20C_I059K01N07,1353017.937546
AL20C_I060K01N07,1341910.550700
AL20C_I061K01N07,1344167.184911
AL20C_I062K01N07,1361202.650350
AL20C_I063K01N07,1340787.379805
AL20C_I064K01N07,1377321.025427
AL20C_I065K01N07,1428831.025750
AL20C_I066K01N07,1449052.718285
AL20C_I067K01N07,1351854.095627
AL20C_I068K01N07,1349819.077936
AL20C_I069K01N07,1465114.789908
AL20C_I070K01N07,1347018.181609
AL20C_I071K01N07,1341536.065196
AL20C_I072K01N07,1344162.500880
AL20C_I073K01N07,1342189.948946
AL20C_I074K01N07,1346190.984957
AL20C_I075K01N07,1344469.621564
AL20C_I076K01N07,1342707.821007
AL20C_I077K01N07,1343545.663273
AL20C_I078K01N07,1348357.807325
AL20C_I079K01N07,1353337.815925
AL20C_I080K01N07,1361202.650350
AL20C_I081K01N07,1345064.428031
AL20C_I082K01N07,1345178.867985
AL20C_I083K01N07,1337930.952279
AL20C_I084K01N07,1352664.285787
AL20C_I085K01N07,1357260.133043
AL20C_I086K01N07,1351896.079431
AL20C_I087K01N07,1346780.434205
AL20C_I088K01N07,1377098.753199
AL20C_I089K01N07,1339420.164579
AL20C_I090K01N07,1339287.382010
AL20C_I091K01N07,1341396.787464
AL20C_I092K01N07,1342549.896763
AL20C_I093K01N07,1349130.068855
AL20C_I094K01N07,1361201.884357
AL20C_I095K01N07,1354024.815075
AL20C_I096K01N07,1340242.170577
AL20C_I097K01N07,1345092.126186
AL20C_I098K01N07,1339629.624430
AL20C_I099K01N07,1341261.427294
