#,MAP,CONTIGUOUS,ENERGY,POPDEV,DELTA,SHARED,UOM,ES
64,VA20C_I063K01N11,True,2704172.104126,0.004440,0.014525,0.927230,0.395401,0.164687
25,VA20C_I024K01N11,True,2705996.898586,0.006760,0.015209,0.911155,0.487391,0.199400
72,VA20C_I071K01N11,True,2706084.963490,0.005280,0.015243,0.910676,0.485417,0.200944
8,VA20C_I007K01N11,True,2706110.537567,0.004500,0.015252,0.925403,0.415109,0.167961
66,VA20C_I065K01N11,True,2707226.008231,0.005010,0.015671,0.908714,0.493962,0.205608
78,VA20C_I077K01N11,True,2707226.008231,0.005010,0.015671,0.908714,0.493962,0.205608
83,VA20C_I082K01N11,True,2707226.008231,0.005010,0.015671,0.908714,0.493962,0.205608
26,VA20C_I025K01N11,True,2707436.280602,0.004950,0.015750,0.911626,0.482838,0.198171
77,VA20C_I076K01N11,True,2709050.155646,0.004750,0.016355,0.921258,0.448355,0.174375
14,VA20C_I013K01N11,True,2711139.693644,0.007080,0.017139,0.908913,0.491227,0.205198
31,VA20C_I030K01N11,True,2711139.693644,0.007080,0.017139,0.908913,0.491227,0.205198
10,VA20C_I009K01N11,True,2711784.740760,0.006760,0.017381,0.921763,0.439599,0.173979
30,VA20C_I029K01N11,True,2711784.740760,0.006760,0.017381,0.921763,0.439599,0.173979
54,VA20C_I053K01N11,True,2711784.740760,0.006760,0.017381,0.921763,0.439599,0.173979
34,VA20C_I033K01N11,True,2712740.551517,0.004340,0.017740,0.909129,0.488372,0.204753
69,VA20C_I068K01N11,True,2712740.551517,0.004340,0.017740,0.909129,0.488372,0.204753
15,VA20C_I014K01N11,True,2712878.758101,0.006280,0.017791,0.913912,0.478870,0.192576
12,VA20C_I011K01N11,True,2712916.931680,0.007760,0.017806,0.913352,0.479543,0.193944
24,VA20C_I023K01N11,True,2863264.001965,0.006020,0.074211,0.759096,0.774104,0.618464
80,VA20C_I079K01N11,True,2869103.009409,0.007160,0.076402,0.752951,0.848151,0.641132
92,VA20C_I091K01N11,True,2869414.145957,0.004510,0.076519,0.744098,0.854297,0.657148
86,VA20C_I085K01N11,True,2872205.027954,0.007860,0.077566,0.739616,0.852725,0.657728
20,VA20C_I019K01N11,True,2951416.629942,0.009520,0.107284,0.734329,0.878527,0.708145
