GEOID,ALAND,AWATER
06083990000,0,2405533154
06023990100,0,1061851402
06075990100,0,70939179
06097990100,0,381152626
06037990100,0,172776383
06037990300,0,143309039
06037990200,0,207470372
06061990000,0,199195755
06079990000,0,703562867
06017990000,0,134713935
06013990000,0,86174895
06045990100,0,869680392
06015990000,0,454881619
06081990100,0,677709741
06073990100,0,659745109
06001990000,0,137245345
06059990100,0,356909337
06041990100,0,655490076
06111990100,0,881241651
06053990000,0,1141754797
06087990100,0,388534247
06075990200,0,121097313

