GEOID,ALAND,AWATER
060379903000,0,143309039
060239901000,0,1061851402
060759901000,0,70939179
060459901000,0,869680392
060739901000,0,659745109
060379901000,0,172776383
060379902000,0,207470372
060419901000,0,655490076
060375766020,0,2609951
060759902000,0,121097313
060879901000,0,388534247
060979901000,0,381152626
060159900000,0,454881619
060139900000,0,86174895
060019900000,0,137245345
060179900000,0,134713935
060819901000,0,677709741
060599901000,0,356909337
061119901000,0,881241651
060619900000,0,199195755
060539900000,0,1141754797
060799900000,0,703562867
060839900000,0,2405533154

