MAP,ENERGY
MO20C_I000K01N08,2164615.872846
MO20C_I001K01N08,2378776.127190
MO20C_I002K01N08,2242933.778881
MO20C_I003K01N08,2314420.477563
MO20C_I004K01N08,2287828.473415
MO20C_I005K01N08,2199225.226555
MO20C_I006K01N08,2647996.636419
MO20C_I007K01N08,2306193.966320
MO20C_I008K01N08,2170896.247145
MO20C_I009K01N08,2199225.226555
MO20C_I010K01N08,2165496.348181
MO20C_I011K01N08,2166708.519659
MO20C_I012K01N08,2165955.236847
MO20C_I013K01N08,2166239.017154
MO20C_I014K01N08,2314179.183434
MO20C_I015K01N08,2199225.226555
MO20C_I016K01N08,2282741.213984
MO20C_I017K01N08,2165496.348181
MO20C_I018K01N08,2282519.960606
MO20C_I020K01N08,2278739.390709
MO20C_I021K01N08,2168764.820936
MO20C_I022K01N08,2162057.557054
MO20C_I023K01N08,2163450.418186
MO20C_I024K01N08,2200282.250788
MO20C_I025K01N08,2384370.041264
MO20C_I026K01N08,2166841.584323
MO20C_I027K01N08,2393615.225614
MO20C_I028K01N08,2165496.348181
MO20C_I029K01N08,2179453.186286
MO20C_I030K01N08,2314179.183434
MO20C_I031K01N08,2165496.348181
MO20C_I032K01N08,2163645.993883
MO20C_I033K01N08,2314179.183434
MO20C_I034K01N08,2316733.127105
MO20C_I036K01N08,2199218.860904
MO20C_I037K01N08,2305799.103503
MO20C_I038K01N08,2166550.281515
MO20C_I039K01N08,2165819.183912
MO20C_I040K01N08,2199535.801149
MO20C_I041K01N08,2308244.679220
MO20C_I042K01N08,2313773.655781
MO20C_I043K01N08,2166840.217841
MO20C_I044K01N08,2393478.811691
MO20C_I045K01N08,2199225.226555
MO20C_I046K01N08,2205815.825445
MO20C_I047K01N08,2203365.944153
MO20C_I048K01N08,2163441.510629
MO20C_I049K01N08,2281780.134197
MO20C_I050K01N08,2163851.773801
MO20C_I051K01N08,2393561.436824
MO20C_I052K01N08,2164916.407462
MO20C_I053K01N08,2314030.060853
MO20C_I054K01N08,2316313.178661
MO20C_I055K01N08,2165284.855752
MO20C_I056K01N08,2306175.129673
MO20C_I057K01N08,2278739.390709
MO20C_I058K01N08,2314179.183434
MO20C_I059K01N08,2164916.407462
MO20C_I060K01N08,2166239.017154
MO20C_I061K01N08,2166932.828328
MO20C_I062K01N08,2378246.411516
MO20C_I063K01N08,2160064.481721
MO20C_I064K01N08,2197105.724888
MO20C_I065K01N08,2181843.748135
MO20C_I066K01N08,2308244.679220
MO20C_I067K01N08,2205368.641880
MO20C_I068K01N08,2645908.135420
MO20C_I069K01N08,2166840.217841
MO20C_I070K01N08,2204223.145243
MO20C_I071K01N08,2269841.696417
MO20C_I072K01N08,2305949.118285
MO20C_I073K01N08,2167726.252240
MO20C_I074K01N08,2329712.641958
MO20C_I075K01N08,2199218.860904
MO20C_I076K01N08,2308244.679220
MO20C_I077K01N08,2165496.348181
MO20C_I078K01N08,2316489.864270
MO20C_I079K01N08,2308080.897753
MO20C_I080K01N08,2199008.978273
MO20C_I081K01N08,2646545.363971
MO20C_I082K01N08,2166286.149442
MO20C_I083K01N08,2162359.445883
MO20C_I084K01N08,2196170.285900
MO20C_I085K01N08,2305534.658649
MO20C_I086K01N08,2169345.022975
MO20C_I087K01N08,2160257.750003
MO20C_I088K01N08,2280934.675596
MO20C_I089K01N08,2165496.348181
MO20C_I091K01N08,2199542.072291
MO20C_I092K01N08,2278739.390709
MO20C_I093K01N08,2315593.905782
MO20C_I094K01N08,2165120.448668
MO20C_I095K01N08,2304189.983864
MO20C_I096K01N08,2308561.507339
MO20C_I097K01N08,2171438.395609
MO20C_I098K01N08,2282741.213984
MO20C_I099K01N08,2199225.226555
