#,MAP,CONTIGUOUS,ENERGY,POPDEV,DELTA,SHARED,UOM,ES
75,MO20C_I074K01N08,True,2895171.973344,0.002790,0.018888,0.740992,0.824198,0.725702
79,MO20C_I078K01N08,True,2895834.395669,0.004950,0.019121,0.746204,0.801818,0.709144
4,MO20C_I003K01N08,True,2895861.357671,0.003950,0.019130,0.746500,0.800765,0.706953
59,MO20C_I058K01N08,True,2895925.193150,0.002900,0.019153,0.747103,0.802044,0.708456
34,MO20C_I033K01N08,True,2895925.193150,0.002900,0.019153,0.747103,0.802044,0.708456
31,MO20C_I030K01N08,True,2895925.193150,0.002900,0.019153,0.747103,0.802044,0.708456
15,MO20C_I014K01N08,True,2895925.193150,0.002900,0.019153,0.747103,0.802044,0.708456
35,MO20C_I034K01N08,True,2897205.267545,0.004440,0.019603,0.746042,0.802916,0.708187
26,MO20C_I025K01N08,True,2897754.977115,0.003500,0.019797,0.853043,0.605890,0.391460
77,MO20C_I076K01N08,True,2898570.830034,0.003870,0.020084,0.751343,0.784603,0.697714
42,MO20C_I041K01N08,True,2898570.830034,0.003870,0.020084,0.751343,0.784603,0.697714
67,MO20C_I066K01N08,True,2898570.830034,0.003870,0.020084,0.751343,0.784603,0.697714
28,MO20C_I027K01N08,True,2899463.096824,0.002140,0.020398,0.817229,0.732699,0.497763
80,MO20C_I079K01N08,True,2900562.736564,0.002010,0.020785,0.763044,0.714529,0.652990
52,MO20C_I051K01N08,True,2901777.871086,0.004180,0.021212,0.827045,0.674153,0.473084
8,MO20C_I007K01N08,True,2903697.199904,0.002630,0.021888,0.752704,0.776855,0.685785
38,MO20C_I037K01N08,True,2904190.528237,0.001780,0.022061,0.747733,0.799167,0.706633
73,MO20C_I072K01N08,True,2905105.064383,0.001370,0.022383,0.748651,0.797525,0.702149
57,MO20C_I056K01N08,True,2905330.744707,0.001690,0.022463,0.750029,0.792761,0.693334
55,MO20C_I054K01N08,True,2905907.409911,0.002050,0.022666,0.777016,0.745898,0.612272
45,MO20C_I044K01N08,True,2946723.403016,0.005200,0.037030,0.817521,0.711078,0.509335
82,MO20C_I081K01N08,True,3270197.856008,0.028740,0.150869,0.649961,1.136303,1.026521
7,MO20C_I006K01N08,True,3282502.212357,0.014870,0.155199,0.647033,1.138516,1.035065
69,MO20C_I068K01N08,True,3287988.084041,0.005060,0.157130,0.639054,1.143291,1.062515
